日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.5,0.0
2022-01-14,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.52,0.0
2022-01-14,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.52,0.0
2022-01-17,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-01-18,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-01-18,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-01-18,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-01-19,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.52,0.0
2022-01-19,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.52,0.0
2022-01-20,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-20,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-20,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-21,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-21,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-21,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.54,0.0
2022-01-22,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.57,0.0
2022-01-22,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.57,0.0
2022-01-22,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.57,0.0
2022-01-22,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.57,0.0
2022-01-23,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-24,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300010,白玉菇(盒),食用菌,1.0,2.0,销售,是,1.72,0.0
2022-01-26,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-27,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-27,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-28,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-29,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,4.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-01-30,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-01,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-02,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.53,0.0
2022-02-03,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.0,0.0
2022-02-03,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.0,0.0
2022-02-03,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.0,0.0
2022-02-04,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-05,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-06,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-06,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-06,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-06,106957634300010,白玉菇(盒),食用菌,2.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-07,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-08,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-09,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-09,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-10,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-10,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-11,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-12,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-12,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-13,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-14,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-14,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-14,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.75,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-15,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-16,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.69,0.0
2022-02-16,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.69,0.0
2022-02-16,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.69,0.0
2022-02-18,106957634300010,白玉菇(盒),食用菌,1.0,2.9,销售,否,1.71,0.0
