日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-07,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-07,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-07,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-07,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-08,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.75,6.57
2020-08-19,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.06,6.57
2020-08-19,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.06,6.57
2020-08-20,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-20,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-21,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-21,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-22,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-22,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-08-23,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.24,6.57
2020-08-23,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.24,6.57
2020-08-24,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.22,6.57
2020-08-24,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.22,6.57
2020-08-25,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.18,6.57
2020-08-25,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.18,6.57
2020-08-26,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.18,6.57
2020-08-27,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.27,6.57
2020-08-27,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.27,6.57
2020-08-27,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.27,6.57
2020-08-28,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.36,6.57
2020-08-28,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.36,6.57
2020-08-29,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.29,6.57
2020-08-30,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.34,6.57
2020-08-30,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.34,6.57
2020-08-30,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.34,6.57
2020-08-31,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.35,6.57
2020-09-01,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.35,6.57
2020-09-02,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.34,6.57
2020-09-02,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.34,6.57
2020-09-03,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.22,6.57
2020-09-03,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.22,6.57
2020-09-04,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.26,6.57
2020-09-04,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.26,6.57
2020-09-05,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.26,6.57
2020-09-05,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.26,6.57
2020-09-05,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.26,6.57
2020-09-06,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-09-06,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,4.13,6.57
2020-09-07,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.96,6.57
2020-09-11,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.98,6.57
2020-09-11,102900011013274,白玉菇(袋),食用菌,1.0,7.9,销售,否,3.98,6.57
