日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-11-23,102900005115748,白菜苔,花叶类,0.436,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.369,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.705,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.269,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.671,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.302,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.269,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.537,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.705,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.604,3.0,销售,否,1.64,8.78
2020-11-23,102900005115748,白菜苔,花叶类,0.336,3.0,销售,否,1.64,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.361,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.321,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.582,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.582,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.402,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.743,5.0,销售,否,3.39,8.78
2020-11-25,102900005115748,白菜苔,花叶类,0.442,5.0,销售,否,3.39,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.301,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.321,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.522,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.261,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.321,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.382,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.502,5.0,销售,否,3.41,8.78
2020-11-26,102900005115748,白菜苔,花叶类,0.602,5.0,销售,否,3.41,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.321,5.0,销售,否,3.27,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.301,5.0,销售,否,3.27,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.301,5.0,销售,否,3.27,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.301,5.0,销售,否,3.27,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.703,5.0,销售,否,3.27,8.78
2020-11-27,102900005115748,白菜苔,花叶类,0.301,5.0,销售,否,3.27,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.281,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.361,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.361,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.683,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.743,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.663,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.602,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.402,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.382,5.0,销售,否,3.33,8.78
2020-11-28,102900005115748,白菜苔,花叶类,0.482,5.0,销售,否,3.33,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.769,6.0,销售,否,3.61,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.385,6.0,销售,否,3.61,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.385,6.0,销售,否,3.61,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.368,6.0,销售,否,3.61,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.301,6.0,销售,否,3.61,8.78
2020-11-29,102900005115748,白菜苔,花叶类,0.334,6.0,销售,否,3.61,8.78
2020-11-30,102900005115748,白菜苔,花叶类,0.368,6.0,销售,否,3.84,8.78
2020-11-30,102900005115748,白菜苔,花叶类,0.636,6.0,销售,否,3.84,8.78
2020-11-30,102900005115748,白菜苔,花叶类,0.368,6.0,销售,否,3.84,8.78
2020-12-01,102900005115748,白菜苔,花叶类,0.502,6.0,销售,否,3.84,8.78
2020-12-03,102900005115748,白菜苔,花叶类,0.268,6.0,销售,否,3.41,8.78
2020-12-03,102900005115748,白菜苔,花叶类,0.234,6.0,销售,否,3.41,8.78
2020-12-03,102900005115748,白菜苔,花叶类,0.251,6.0,销售,否,3.41,8.78
2020-12-03,102900005115748,白菜苔,花叶类,0.251,6.0,销售,否,3.41,8.78
2020-12-03,102900005115748,白菜苔,花叶类,0.301,6.0,销售,否,3.41,8.78
2020-12-04,102900005115748,白菜苔,花叶类,0.418,6.0,销售,否,3.41,8.78
2020-12-04,102900005115748,白菜苔,花叶类,0.351,6.0,销售,否,3.41,8.78
2020-12-04,102900005115748,白菜苔,花叶类,0.318,6.0,销售,否,3.41,8.78
2020-12-04,102900005115748,白菜苔,花叶类,0.401,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.385,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.318,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.318,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.351,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.385,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.268,6.0,销售,否,3.41,8.78
2020-12-05,102900005115748,白菜苔,花叶类,0.318,6.0,销售,否,3.41,8.78
2020-12-06,102900005115748,白菜苔,花叶类,0.268,6.0,销售,否,3.41,8.78
