日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2023-02-15,102900011032480,白蒿,花叶类,0.104,35.6,销售,否,25.96,0.0
2023-02-17,102900011032480,白蒿,花叶类,0.098,35.6,销售,否,26.02,0.0
2023-02-19,102900011032480,白蒿,花叶类,0.124,35.6,销售,否,25.99,0.0
2023-02-19,102900011032480,白蒿,花叶类,0.183,35.6,销售,否,25.99,0.0
2023-02-20,102900011032480,白蒿,花叶类,0.079,35.6,销售,否,25.95,0.0
2023-02-23,102900011032480,白蒿,花叶类,0.051,31.6,销售,否,30.78,0.0
2023-02-26,102900011032480,白蒿,花叶类,0.187,31.6,销售,否,17.17,0.0
2023-03-09,102900011032480,白蒿,花叶类,0.119,23.6,销售,否,12.1,0.0
2023-03-10,102900011032480,白蒿,花叶类,0.165,14.2,销售,是,12.12,0.0
2023-03-11,102900011032480,白蒿,花叶类,0.186,14.2,销售,是,12.1,0.0
2023-03-14,102900011032480,白蒿,花叶类,0.178,23.6,销售,否,12.08,0.0
2023-03-15,102900011032480,白蒿,花叶类,0.178,23.6,销售,否,12.08,0.0
2023-03-21,102900011032480,白蒿,花叶类,0.178,14.2,销售,是,12.08,0.0
2023-03-22,102900011032480,白蒿,花叶类,0.186,14.2,销售,是,12.04,0.0
2023-03-23,102900011032480,白蒿,花叶类,0.208,23.6,销售,否,12.07,0.0
