日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-11-25,102900011011669,秀珍菇,食用菌,0.229,14.0,销售,否,9.95,11.93
2020-11-25,102900011011669,秀珍菇,食用菌,0.258,14.0,销售,否,9.95,11.93
2020-11-25,102900011011669,秀珍菇,食用菌,0.236,14.0,销售,否,9.95,11.93
2020-11-25,102900011011669,秀珍菇,食用菌,0.193,14.0,销售,否,9.95,11.93
2020-11-25,102900011011669,秀珍菇,食用菌,0.207,14.0,销售,否,9.95,11.93
2020-11-26,102900011011669,秀珍菇,食用菌,0.213,16.0,销售,否,9.94,11.93
2020-11-26,102900011011669,秀珍菇,食用菌,0.2,16.0,销售,否,9.94,11.93
2020-11-26,102900011011669,秀珍菇,食用菌,0.219,16.0,销售,否,9.94,11.93
2020-11-26,102900011011669,秀珍菇,食用菌,0.207,16.0,销售,否,9.94,11.93
2020-11-27,102900011011669,秀珍菇,食用菌,0.25,16.0,销售,否,9.92,11.93
2020-11-28,102900011011669,秀珍菇,食用菌,0.269,16.0,销售,否,9.94,11.93
2020-11-28,102900011011669,秀珍菇,食用菌,0.269,16.0,销售,否,9.94,11.93
2020-11-28,102900011011669,秀珍菇,食用菌,0.3,16.0,销售,否,9.94,11.93
2020-11-28,102900011011669,秀珍菇,食用菌,0.219,16.0,销售,否,9.94,11.93
2020-11-29,102900011011669,秀珍菇,食用菌,0.225,16.0,销售,否,9.94,11.93
2020-11-29,102900011011669,秀珍菇,食用菌,0.25,16.0,销售,否,9.94,11.93
2020-11-29,102900011011669,秀珍菇,食用菌,0.144,16.0,销售,否,9.94,11.93
2020-11-29,102900011011669,秀珍菇,食用菌,0.194,16.0,销售,否,9.94,11.93
2020-11-30,102900011011669,秀珍菇,食用菌,0.2,16.0,销售,否,9.94,11.93
2020-11-30,102900011011669,秀珍菇,食用菌,0.238,16.0,销售,否,9.94,11.93
2020-11-30,102900011011669,秀珍菇,食用菌,0.25,16.0,销售,否,9.94,11.93
2020-12-04,102900011011669,秀珍菇,食用菌,0.223,18.0,销售,否,13.11,11.93
2020-12-04,102900011011669,秀珍菇,食用菌,0.223,18.0,销售,否,13.11,11.93
2020-12-04,102900011011669,秀珍菇,食用菌,0.245,18.0,销售,否,13.11,11.93
2020-12-04,102900011011669,秀珍菇,食用菌,0.2,18.0,销售,否,13.11,11.93
