日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-17,102900011000335,紫圆茄,茄类,0.631,10.0,销售,否,6.11,0.32
2021-07-17,102900011000335,紫圆茄,茄类,0.671,10.0,销售,否,6.11,0.32
2021-07-17,102900011000335,紫圆茄,茄类,0.401,10.0,销售,否,6.11,0.32
2021-07-17,102900011000335,紫圆茄,茄类,0.822,10.0,销售,否,6.11,0.32
2021-07-18,102900011000335,紫圆茄,茄类,0.421,10.0,销售,否,6.11,0.32
2021-07-18,102900011000335,紫圆茄,茄类,0.561,10.0,销售,否,6.11,0.32
2021-07-18,102900011000335,紫圆茄,茄类,0.341,10.0,销售,否,6.11,0.32
2021-07-20,102900011000335,紫圆茄,茄类,0.441,10.0,销售,否,6.1,0.32
2022-05-07,102900011000335,紫圆茄,茄类,0.79,16.0,销售,否,2.51,0.32
2022-05-08,102900011000335,紫圆茄,茄类,0.589,16.0,销售,否,2.5,0.32
2022-05-08,102900011000335,紫圆茄,茄类,0.639,16.0,销售,否,2.5,0.32
2022-05-25,102900011000335,紫圆茄,茄类,0.219,16.0,销售,否,2.51,0.32
2022-06-24,102900011000335,紫圆茄,茄类,0.623,14.0,销售,否,2.5,0.32
2022-07-02,102900011000335,紫圆茄,茄类,0.509,14.0,销售,否,1.0,0.32
