日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-01-17,102900011000632,紫白菜(1),花菜类,0.702,19.8,销售,否,7.29,25.53
2021-01-17,102900011000632,紫白菜(1),花菜类,0.667,19.8,销售,否,7.29,25.53
2021-01-19,102900011000632,紫白菜(1),花菜类,0.735,12.0,销售,否,7.29,25.53
2021-01-19,102900011000632,紫白菜(1),花菜类,0.601,12.0,销售,否,7.29,25.53
2021-01-20,102900011000632,紫白菜(1),花菜类,0.392,12.0,销售,否,7.3,25.53
2021-01-20,102900011000632,紫白菜(1),花菜类,0.451,12.0,销售,否,7.3,25.53
2021-01-21,102900011000632,紫白菜(1),花菜类,0.493,12.0,销售,否,7.3,25.53
2021-01-23,102900011000632,紫白菜(1),花菜类,0.626,12.0,销售,否,7.29,25.53
2021-01-23,102900011000632,紫白菜(1),花菜类,0.493,12.0,销售,否,7.29,25.53
2021-01-23,102900011000632,紫白菜(1),花菜类,0.459,12.0,销售,否,7.29,25.53
2021-01-24,102900011000632,紫白菜(1),花菜类,0.935,12.0,销售,否,7.29,25.53
2021-01-24,102900011000632,紫白菜(1),花菜类,0.634,12.0,销售,否,7.29,25.53
2021-01-26,102900011000632,紫白菜(1),花菜类,0.584,12.0,销售,否,7.29,25.53
2021-01-27,102900011000632,紫白菜(1),花菜类,0.459,12.0,销售,否,7.29,25.53
2021-01-27,102900011000632,紫白菜(1),花菜类,0.885,12.0,销售,否,7.29,25.53
2021-01-29,102900011000632,紫白菜(1),花菜类,0.317,12.0,销售,否,7.29,25.53
2021-01-29,102900011000632,紫白菜(1),花菜类,0.292,12.0,销售,否,7.29,25.53
2021-02-09,102900011000632,紫白菜(1),花菜类,0.885,12.0,销售,否,7.6,25.53
2021-02-09,102900011000632,紫白菜(1),花菜类,0.576,12.0,销售,否,7.6,25.53
2021-10-18,102900011000632,紫白菜(1),花菜类,0.798,19.8,销售,否,5.0,25.53
2022-03-11,102900011000632,紫白菜(1),花菜类,0.194,16.0,销售,否,11.8,25.53
2022-03-12,102900011000632,紫白菜(1),花菜类,0.52,16.0,销售,否,11.81,25.53
2022-03-16,102900011000632,紫白菜(1),花菜类,0.188,16.0,销售,否,11.81,25.53
2022-04-29,102900011000632,紫白菜(1),花菜类,0.365,14.0,销售,否,9.51,25.53
