日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-25,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.83,9.43
2022-02-25,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.83,9.43
2022-03-04,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-11,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-11,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-14,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-15,102900011032176,紫苏(份),花叶类,1.0,2.7,销售,是,1.43,9.43
2022-03-18,102900011032176,紫苏(份),花叶类,1.0,2.0,销售,是,1.43,9.43
2022-03-21,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-26,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-03-27,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.44,9.43
2022-03-29,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.45,9.43
2022-03-30,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.43,9.43
2022-04-01,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.45,9.43
2022-04-05,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.5,9.43
2022-04-06,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.45,9.43
2022-04-07,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-04-08,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.5,9.43
2022-04-09,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-04-10,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-04-11,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-04-12,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.55,9.43
2022-04-14,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.66,9.43
2022-04-14,102900011032176,紫苏(份),花叶类,1.0,2.7,销售,是,1.66,9.43
2022-04-16,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.63,9.43
2022-04-19,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.63,9.43
2022-04-21,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.7,9.43
2022-04-21,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.7,9.43
2022-04-21,102900011032176,紫苏(份),花叶类,1.0,2.7,销售,是,1.7,9.43
2022-04-22,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.82,9.43
2022-04-22,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.82,9.43
2022-04-23,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.83,9.43
2022-04-24,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.09,9.43
2022-04-29,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.08,9.43
2022-06-16,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-06-16,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.64,9.43
2022-06-21,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.45,9.43
2022-06-25,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.57,9.43
2022-06-29,102900011032176,紫苏(份),花叶类,1.0,2.3,销售,是,1.84,9.43
2022-07-02,102900011032176,紫苏(份),花叶类,1.0,3.9,销售,否,1.85,9.43
