日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-14,102900011007464,紫苏,花叶类,0.122,18.0,销售,否,9.18,12.88
2020-09-16,102900011007464,紫苏,花叶类,0.106,18.0,销售,否,9.18,12.88
2020-09-16,102900011007464,紫苏,花叶类,0.15,18.0,销售,否,9.18,12.88
2020-09-17,102900011007464,紫苏,花叶类,0.111,18.0,销售,否,9.19,12.88
2020-09-20,102900011007464,紫苏,花叶类,0.15,18.0,销售,否,9.18,12.88
2020-09-20,102900011007464,紫苏,花叶类,0.223,18.0,销售,否,9.18,12.88
2020-09-20,102900011007464,紫苏,花叶类,0.167,18.0,销售,否,9.18,12.88
2020-09-20,102900011007464,紫苏,花叶类,0.083,18.0,销售,否,9.18,12.88
2020-09-25,102900011007464,紫苏,花叶类,0.161,18.0,销售,否,9.13,12.88
2020-09-27,102900011007464,紫苏,花叶类,0.095,18.0,销售,否,9.14,12.88
2020-09-27,102900011007464,紫苏,花叶类,0.078,18.0,销售,否,9.14,12.88
2020-09-27,102900011007464,紫苏,花叶类,0.139,18.0,销售,否,9.14,12.88
2020-09-27,102900011007464,紫苏,花叶类,0.134,18.0,销售,否,9.14,12.88
2020-09-27,102900011007464,紫苏,花叶类,0.111,18.0,销售,否,9.14,12.88
2021-02-25,102900011007464,紫苏,花叶类,0.156,21.8,销售,否,13.22,12.88
2021-02-25,102900011007464,紫苏,花叶类,0.133,21.8,销售,否,13.22,12.88
2021-03-01,102900011007464,紫苏,花叶类,0.228,18.0,销售,否,10.92,12.88
2021-03-01,102900011007464,紫苏,花叶类,0.239,18.0,销售,否,10.92,12.88
2021-03-01,102900011007464,紫苏,花叶类,0.273,18.0,销售,否,10.92,12.88
2021-03-06,102900011007464,紫苏,花叶类,0.15,18.0,销售,否,9.4,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.111,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.184,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.184,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.156,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.145,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.039,18.0,销售,否,9.41,12.88
2021-03-07,102900011007464,紫苏,花叶类,0.161,18.0,销售,否,9.41,12.88
2021-03-08,102900011007464,紫苏,花叶类,0.161,18.0,销售,否,9.38,12.88
