日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-08-06,102900011033982,紫茄子(1),茄类,0.373,11.0,销售,否,5.06,9.43
2022-08-06,102900011033982,紫茄子(1),茄类,0.401,11.0,销售,否,5.06,9.43
2022-08-06,102900011033982,紫茄子(1),茄类,0.528,11.0,销售,否,5.06,9.43
2022-08-06,102900011033982,紫茄子(1),茄类,0.51,11.0,销售,否,5.06,9.43
2022-08-06,102900011033982,紫茄子(1),茄类,0.446,11.0,销售,否,5.06,9.43
2022-08-06,102900011033982,紫茄子(1),茄类,0.501,11.0,销售,否,5.06,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.501,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.847,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.465,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.455,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.501,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.519,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.583,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.92,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.492,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.337,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.465,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.51,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.729,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.474,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.328,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.455,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.647,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.51,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.428,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.574,11.0,销售,否,5.1,9.43
2022-08-07,102900011033982,紫茄子(1),茄类,0.328,11.0,销售,否,5.1,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.383,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.556,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.483,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.51,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.72,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.41,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.528,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.619,11.0,销售,否,5.26,9.43
2022-08-08,102900011033982,紫茄子(1),茄类,0.501,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.838,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.401,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.401,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.428,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.674,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.592,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.938,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.428,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.437,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.392,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.446,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.492,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.556,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.674,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.328,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.383,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.474,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.455,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.738,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.574,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.446,11.0,销售,否,5.26,9.43
2022-08-09,102900011033982,紫茄子(1),茄类,0.601,11.0,销售,否,5.26,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.428,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.483,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.492,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.483,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.383,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.592,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.446,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.546,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.601,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.455,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.455,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.537,11.0,销售,否,4.75,9.43
2022-08-10,102900011033982,紫茄子(1),茄类,0.355,11.0,销售,否,4.75,9.43
