日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-06-18,102900011029299,紫螺丝椒,辣椒类,0.272,14.0,销售,否,13.0,0.0
2022-06-18,102900011029299,紫螺丝椒,辣椒类,0.351,14.0,销售,否,13.0,0.0
2022-06-18,102900011029299,紫螺丝椒,辣椒类,0.244,14.0,销售,否,13.0,0.0
2022-06-19,102900011029299,紫螺丝椒,辣椒类,0.165,14.0,销售,否,12.99,0.0
2022-06-19,102900011029299,紫螺丝椒,辣椒类,0.129,14.0,销售,否,12.99,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.238,16.0,销售,否,11.9,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.188,16.0,销售,否,11.9,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.194,16.0,销售,否,11.9,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.201,16.0,销售,否,11.9,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.226,16.0,销售,否,11.9,0.0
2023-01-06,102900011029299,紫螺丝椒,辣椒类,0.169,16.0,销售,否,11.9,0.0
2023-01-08,102900011029299,紫螺丝椒,辣椒类,0.238,16.0,销售,否,11.9,0.0
2023-01-08,102900011029299,紫螺丝椒,辣椒类,0.226,16.0,销售,否,11.9,0.0
2023-01-10,102900011029299,紫螺丝椒,辣椒类,0.206,18.0,销售,否,11.89,0.0
2023-01-10,102900011029299,紫螺丝椒,辣椒类,0.217,18.0,销售,否,11.89,0.0
2023-01-11,102900011029299,紫螺丝椒,辣椒类,0.184,10.8,销售,是,11.91,0.0
2023-01-12,102900011029299,紫螺丝椒,辣椒类,0.206,18.0,销售,否,11.89,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.45,19.8,销售,否,13.96,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.444,19.8,销售,否,13.96,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.535,19.8,销售,否,13.96,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.202,19.8,销售,否,13.96,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.258,19.8,销售,否,13.96,0.0
2023-01-18,102900011029299,紫螺丝椒,辣椒类,0.076,19.8,销售,否,13.96,0.0
2023-01-19,102900011029299,紫螺丝椒,辣椒类,0.182,19.8,销售,否,13.96,0.0
2023-01-19,102900011029299,紫螺丝椒,辣椒类,0.384,19.8,销售,否,13.96,0.0
2023-01-19,102900011029299,紫螺丝椒,辣椒类,0.258,19.8,销售,否,13.96,0.0
2023-01-19,102900011029299,紫螺丝椒,辣椒类,0.081,19.8,销售,否,13.96,0.0
2023-01-20,102900011029299,紫螺丝椒,辣椒类,0.172,19.8,销售,否,13.95,0.0
2023-01-20,102900011029299,紫螺丝椒,辣椒类,0.147,19.8,销售,否,13.95,0.0
