日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-02-22,102900051010790,紫贝菜,花叶类,0.278,19.8,销售,否,10.0,19.58
2021-02-22,102900051010790,紫贝菜,花叶类,0.288,19.8,销售,否,10.0,19.58
2021-02-22,102900051010790,紫贝菜,花叶类,0.278,19.8,销售,否,10.0,19.58
2021-02-25,102900051010790,紫贝菜,花叶类,0.273,19.8,销售,否,9.16,19.58
2021-02-25,102900051010790,紫贝菜,花叶类,0.308,19.8,销售,否,9.16,19.58
2021-02-25,102900051010790,紫贝菜,花叶类,0.268,19.8,销售,否,9.16,19.58
2021-02-25,102900051010790,紫贝菜,花叶类,0.308,19.8,销售,否,9.16,19.58
2021-02-25,102900051010790,紫贝菜,花叶类,0.268,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.217,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.202,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.217,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.152,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.187,19.8,销售,否,9.16,19.58
2021-02-26,102900051010790,紫贝菜,花叶类,0.126,19.8,销售,否,9.16,19.58
2021-03-07,102900051010790,紫贝菜,花叶类,0.192,19.8,销售,否,8.17,19.58
2021-03-07,102900051010790,紫贝菜,花叶类,0.202,19.8,销售,否,8.17,19.58
2021-03-08,102900051010790,紫贝菜,花叶类,0.162,19.8,销售,否,8.15,19.58
2021-03-08,102900051010790,紫贝菜,花叶类,0.136,19.8,销售,否,8.15,19.58
2021-03-09,102900051010790,紫贝菜,花叶类,0.187,19.8,销售,否,8.17,19.58
2021-03-09,102900051010790,紫贝菜,花叶类,0.227,19.8,销售,否,8.17,19.58
2021-03-09,102900051010790,紫贝菜,花叶类,0.192,19.8,销售,否,8.17,19.58
2021-03-10,102900051010790,紫贝菜,花叶类,0.192,19.8,销售,否,8.18,19.58
2021-03-12,102900051010790,紫贝菜,花叶类,0.197,19.8,销售,否,8.15,19.58
2021-03-12,102900051010790,紫贝菜,花叶类,0.172,19.8,销售,否,8.15,19.58
2021-03-12,102900051010790,紫贝菜,花叶类,0.182,19.8,销售,否,8.15,19.58
2021-03-13,102900051010790,紫贝菜,花叶类,0.172,14.0,销售,否,8.14,19.58
2021-03-13,102900051010790,紫贝菜,花叶类,0.179,14.0,销售,否,8.14,19.58
2021-03-13,102900051010790,紫贝菜,花叶类,0.222,14.0,销售,否,8.14,19.58
2021-03-13,102900051010790,紫贝菜,花叶类,0.122,14.0,销售,否,8.14,19.58
2021-03-21,102900051010790,紫贝菜,花叶类,0.179,14.0,销售,否,8.15,19.58
2021-03-21,102900051010790,紫贝菜,花叶类,0.215,14.0,销售,否,8.15,19.58
2021-03-22,102900051010790,紫贝菜,花叶类,0.2,14.0,销售,否,8.15,19.58
2021-03-28,102900051010790,紫贝菜,花叶类,0.157,14.0,销售,否,8.12,19.58
2021-03-28,102900051010790,紫贝菜,花叶类,0.15,14.0,销售,否,8.12,19.58
2021-03-28,102900051010790,紫贝菜,花叶类,0.2,14.0,销售,否,8.12,19.58
2021-03-28,102900051010790,紫贝菜,花叶类,0.193,14.0,销售,否,8.12,19.58
2021-03-28,102900051010790,紫贝菜,花叶类,0.172,14.0,销售,否,8.12,19.58
2021-04-01,102900051010790,紫贝菜,花叶类,0.143,14.0,销售,否,7.13,19.58
2021-04-01,102900051010790,紫贝菜,花叶类,0.165,14.0,销售,否,7.13,19.58
2021-04-01,102900051010790,紫贝菜,花叶类,0.15,14.0,销售,否,7.13,19.58
2021-04-01,102900051010790,紫贝菜,花叶类,0.114,14.0,销售,否,7.13,19.58
2021-04-02,102900051010790,紫贝菜,花叶类,0.229,14.0,销售,否,7.33,19.58
2021-04-02,102900051010790,紫贝菜,花叶类,0.172,14.0,销售,否,7.33,19.58
2021-04-02,102900051010790,紫贝菜,花叶类,0.165,14.0,销售,否,7.33,19.58
2021-04-02,102900051010790,紫贝菜,花叶类,0.172,14.0,销售,否,7.33,19.58
2021-04-03,102900051010790,紫贝菜,花叶类,0.172,14.0,销售,否,8.18,19.58
2021-04-03,102900051010790,紫贝菜,花叶类,0.207,14.0,销售,否,8.18,19.58
2021-04-03,102900051010790,紫贝菜,花叶类,0.15,14.0,销售,否,8.18,19.58
2021-04-03,102900051010790,紫贝菜,花叶类,0.143,14.0,销售,否,8.18,19.58
2021-04-03,102900051010790,紫贝菜,花叶类,0.165,14.0,销售,否,8.18,19.58
