日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-30,102900005116219,红尖椒,辣椒类,0.326,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.342,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.2,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.109,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.109,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.058,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.234,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.075,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.225,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.117,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.084,11.5,销售,是,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.2,12.0,销售,否,8.43,6.73
2020-07-30,102900005116219,红尖椒,辣椒类,0.184,10.8,销售,是,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.1,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.1,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.169,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.188,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.194,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.119,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.106,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.269,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.138,16.0,销售,否,8.43,6.73
2020-08-01,102900005116219,红尖椒,辣椒类,0.15,16.0,销售,否,8.43,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.106,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.125,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.313,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.075,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.05,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.175,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.426,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.056,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.063,16.0,销售,否,8.44,6.73
2020-08-02,102900005116219,红尖椒,辣椒类,0.075,16.0,销售,否,8.44,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.376,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.15,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.282,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.213,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.194,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.244,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.063,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.056,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.131,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.088,16.0,销售,否,9.53,6.73
2020-08-03,102900005116219,红尖椒,辣椒类,0.175,16.0,销售,否,9.53,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.3,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.362,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.122,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.206,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.156,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.467,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.223,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.211,18.0,销售,否,12.94,6.73
2020-08-05,102900005116219,红尖椒,辣椒类,0.156,18.0,销售,否,12.94,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.178,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.273,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.067,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.134,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.167,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.256,18.0,销售,否,12.29,6.73
2020-08-06,102900005116219,红尖椒,辣椒类,0.167,18.0,销售,否,12.29,6.73
2020-08-09,102900005116219,红尖椒,辣椒类,0.111,18.0,销售,否,12.07,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.117,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.3,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.117,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.217,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.211,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.134,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.245,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.206,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.1,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.261,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.122,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.2,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.1,18.0,销售,否,7.84,6.73
2020-08-11,102900005116219,红尖椒,辣椒类,0.306,18.0,销售,否,7.84,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.267,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.651,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.312,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.223,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.117,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.089,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.195,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.706,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.378,18.0,销售,否,7.5,6.73
2020-08-12,102900005116219,红尖椒,辣椒类,0.072,18.0,销售,否,7.5,6.73
2021-02-23,102900005116219,红尖椒,辣椒类,0.13,33.8,销售,否,22.31,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.201,33.8,销售,否,22.3,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.201,33.8,销售,否,22.3,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.263,33.8,销售,否,22.3,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.175,33.8,销售,否,22.3,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.317,33.8,销售,否,22.3,6.73
2021-02-24,102900005116219,红尖椒,辣椒类,0.411,33.8,销售,否,22.3,6.73
