日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-08,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,4.36,9.43
2022-02-09,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,4.36,9.43
2022-02-09,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,4.36,9.43
2022-02-10,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,4.16,9.43
2022-02-10,102900011032213,红杭椒(份),辣椒类,1.0,2.9,销售,是,4.16,9.43
2022-02-10,102900011032213,红杭椒(份),辣椒类,1.0,2.9,销售,是,4.16,9.43
2022-02-10,102900011032213,红杭椒(份),辣椒类,1.0,2.9,销售,是,4.16,9.43
2022-02-19,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-02-26,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.55,9.43
2022-02-26,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.55,9.43
2022-02-28,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.55,9.43
2022-03-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-02,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,4.47,9.43
2022-03-04,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,4.47,9.43
2022-03-05,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,4.47,9.43
2022-03-06,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,2.9,9.43
2022-03-06,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,2.9,9.43
2022-03-07,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.91,9.43
2022-03-07,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.91,9.43
2022-03-08,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-08,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-08,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-08,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-08,102900011032213,红杭椒(份),辣椒类,1.0,3.4,销售,是,2.97,9.43
2022-03-09,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.02,9.43
2022-03-09,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.02,9.43
2022-03-09,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.02,9.43
2022-03-12,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.02,9.43
2022-03-12,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.02,9.43
2022-03-14,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.76,9.43
2022-03-14,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.76,9.43
2022-03-14,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.76,9.43
2022-03-14,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.76,9.43
2022-03-15,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.76,9.43
2022-03-16,102900011032213,红杭椒(份),辣椒类,1.0,10.8,销售,否,3.77,9.43
2022-03-18,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.77,9.43
2022-03-18,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.77,9.43
2022-03-21,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.47,9.43
2022-03-21,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.47,9.43
2022-03-21,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.47,9.43
2022-03-22,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.36,9.43
2022-03-22,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.36,9.43
2022-03-22,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.36,9.43
2022-03-22,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.36,9.43
2022-03-22,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.36,9.43
2022-03-23,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.65,9.43
2022-03-23,102900011032213,红杭椒(份),辣椒类,1.0,3.4,销售,是,3.65,9.43
2022-03-24,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.72,9.43
2022-03-24,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.72,9.43
2022-03-25,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.71,9.43
2022-03-25,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.71,9.43
2022-03-25,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.71,9.43
2022-03-25,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.71,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-26,102900011032213,红杭椒(份),辣椒类,1.0,4.9,销售,否,3.85,9.43
2022-03-27,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-27,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-27,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-27,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-27,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-28,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-28,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-28,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,3.87,9.43
2022-03-28,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-28,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-29,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-29,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-29,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-29,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.88,9.43
2022-03-30,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-30,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.87,9.43
2022-03-30,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,3.87,9.43
2022-03-31,102900011032213,红杭椒(份),辣椒类,1.0,4.1,销售,是,3.87,9.43
2022-04-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.72,9.43
2022-04-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.72,9.43
2022-04-01,102900011032213,红杭椒(份),辣椒类,1.0,5.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.72,9.43
2022-04-02,102900011032213,红杭椒(份),辣椒类,1.0,5.5,销售,是,3.72,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.94,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.94,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.94,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.94,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.94,9.43
2022-04-03,102900011032213,红杭椒(份),辣椒类,1.0,5.5,销售,是,3.94,9.43
2022-04-04,102900011032213,红杭椒(份),辣椒类,1.0,7.9,销售,否,3.97,9.43
2022-04-04,102900011032213,红杭椒(份),辣椒类,1.0,5.5,销售,是,3.97,9.43
2022-04-04,102900011032213,红杭椒(份),辣椒类,1.0,5.5,销售,是,3.97,9.43
2022-04-05,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,3.97,9.43
2022-04-06,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,5.55,9.43
2022-04-06,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,5.55,9.43
2022-04-06,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,5.55,9.43
2022-04-08,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,5.77,9.43
2022-04-08,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,5.77,9.43
2022-04-08,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,5.77,9.43
2022-04-12,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,6.34,9.43
2022-04-12,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,6.34,9.43
2022-04-12,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,6.34,9.43
2022-04-13,102900011032213,红杭椒(份),辣椒类,1.0,9.9,销售,否,6.67,9.43
2022-04-17,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,6.26,9.43
2022-04-17,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,6.26,9.43
2022-04-17,102900011032213,红杭椒(份),辣椒类,1.0,6.9,销售,是,6.26,9.43
