日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116943,红杭椒,辣椒类,0.339,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.072,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.784,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.15,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.161,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.122,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.072,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.117,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.156,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.045,18.0,销售,否,7.83,9.99
2020-07-01,102900005116943,红杭椒,辣椒类,0.111,18.0,销售,否,7.83,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.182,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.257,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.294,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.131,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,7.27,9.99
2020-07-02,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,7.27,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.138,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.182,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.125,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.144,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.175,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.069,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.207,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,6.75,9.99
2020-07-03,102900005116943,红杭椒,辣椒类,0.182,16.0,销售,否,6.75,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.213,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.113,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.038,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.2,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.169,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.469,16.0,销售,否,5.9,9.99
2020-07-04,102900005116943,红杭椒,辣椒类,0.031,16.0,销售,否,5.9,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.069,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.269,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.056,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.044,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.175,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.307,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.038,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.038,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.131,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.044,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.269,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.131,16.0,销售,否,5.83,9.99
2020-07-05,102900005116943,红杭椒,辣椒类,0.188,16.0,销售,否,5.83,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.081,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.069,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.081,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.244,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.125,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.169,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.081,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.2,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.263,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.106,16.0,销售,否,5.82,9.99
2020-07-06,102900005116943,红杭椒,辣椒类,0.144,16.0,销售,否,5.82,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.106,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.144,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.163,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.219,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.35,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.081,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.125,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.15,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.182,16.0,销售,否,5.8,9.99
2020-07-07,102900005116943,红杭椒,辣椒类,0.3,16.0,销售,否,5.8,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.294,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.219,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.382,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.113,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.2,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.275,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.532,16.0,销售,否,6.2,9.99
2020-07-08,102900005116943,红杭椒,辣椒类,0.213,16.0,销售,否,6.2,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.044,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.194,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.031,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.469,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.025,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.125,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.106,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.194,16.0,销售,否,6.26,9.99
2020-07-09,102900005116943,红杭椒,辣椒类,0.15,16.0,销售,否,6.26,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.238,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.175,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.113,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.15,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.031,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.069,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.069,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.088,13.5,销售,是,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.219,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.044,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.138,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.288,16.0,销售,否,6.11,9.99
2020-07-10,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,6.11,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.05,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.363,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.232,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.131,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.213,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.056,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.125,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.25,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.463,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.088,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.307,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.213,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.169,16.0,销售,否,6.37,9.99
2020-07-11,102900005116943,红杭椒,辣椒类,0.094,16.0,销售,否,6.37,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.169,14.9,销售,是,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.113,14.6,销售,是,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.063,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.169,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.219,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.163,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.156,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.131,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.538,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.106,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.2,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.1,16.0,销售,否,6.72,9.99
2020-07-12,102900005116943,红杭椒,辣椒类,0.05,16.0,销售,否,6.72,9.99
2020-07-13,102900005116943,红杭椒,辣椒类,0.244,16.0,销售,否,6.9,9.99
2020-07-13,102900005116943,红杭椒,辣椒类,0.075,16.0,销售,否,6.9,9.99
2020-07-13,102900005116943,红杭椒,辣椒类,0.169,16.0,销售,否,6.9,9.99
2020-07-13,102900005116943,红杭椒,辣椒类,0.119,16.0,销售,否,6.9,9.99
