单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900005116233,红椒(1),辣椒类,09:30:17.045,0.15,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,10:25:21.036,0.19,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,10:39:23.623,0.21,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,10:44:16.021,0.16,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,11:16:18.125,0.321,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,12:16:05.936,0.08,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,12:19:28.434,0.14,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,15:10:43.576,0.09,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,15:29:11.280,0.07,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,16:27:49.160,0.17,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,16:51:46.794,0.241,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,16:56:54.139,0.14,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,18:05:55.608,0.06,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,18:53:42.741,0.05,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,19:00:01.215,0.09,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,20:12:53.911,0.15,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,20:25:46.502,0.2,10.0,销售,否,2020-07-01,5.76
102900005116233,红椒(1),辣椒类,09:27:42.613,0.1,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,10:00:34.748,0.251,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,10:47:19.210,0.241,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,11:38:14.326,0.621,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,15:38:40.741,0.15,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,15:43:13.649,0.12,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,16:18:59.312,0.311,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,17:38:14.012,0.291,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,18:35:40.530,0.321,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,18:42:18.686,0.12,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,18:55:59.164,0.09,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,20:18:55.039,0.19,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,21:26:41.856,0.17,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,21:33:40.212,0.321,10.0,销售,否,2020-07-02,5.71
102900005116233,红椒(1),辣椒类,09:20:49.168,0.16,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,09:58:43.389,0.22,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,10:33:01.826,0.381,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,10:40:33.295,0.22,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,11:03:54.283,0.411,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,11:13:46.226,0.441,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,11:18:43.826,0.15,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,12:23:50.451,0.2,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,12:24:16.123,0.06,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,12:45:24.858,0.05,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,13:59:28.657,0.241,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,15:17:29.902,0.07,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,16:20:14.092,0.501,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,16:29:44.744,0.07,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,16:49:14.342,0.18,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,17:31:28.983,0.271,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,18:49:40.760,0.06,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,19:14:03.961,0.17,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,20:25:13.670,0.251,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,20:50:10.103,0.461,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,20:54:20.726,0.17,10.0,销售,否,2020-07-03,5.7
102900005116233,红椒(1),辣椒类,09:32:55.851,0.18,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:36:04.719,0.11,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:39:30.846,0.1,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:39:51.618,0.12,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:41:03.365,0.19,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:46:51.941,0.13,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:49:24.173,0.06,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:53:50.467,0.1,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,10:23:18.733,0.251,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,10:32:14.280,0.07,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,11:02:26.014,0.17,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,13:52:10.985,0.13,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,14:05:43.780,0.391,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,14:53:40.639,0.601,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,16:32:34.196,0.2,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,17:07:38.701,0.15,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,17:18:09.795,0.311,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,17:48:33.576,0.231,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,18:15:28.405,0.14,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,18:32:09.420,0.311,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,18:52:46.702,0.09,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,19:11:25.789,0.331,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,20:06:14.233,0.17,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,21:00:25.804,0.05,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,21:21:26.420,0.261,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,21:25:13.889,0.1,10.0,销售,否,2020-07-04,5.42
102900005116233,红椒(1),辣椒类,09:39:53.248,0.301,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,09:46:52.858,0.17,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:14:22.060,0.14,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:15:29.805,0.13,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:17:34.714,0.21,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:22:09.826,0.301,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:28:34.487,0.391,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:34:27.637,0.17,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:45:00.486,0.18,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,10:54:11.429,0.18,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,11:02:37.979,0.11,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,11:04:07.014,0.11,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,11:26:07.576,0.231,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,11:41:40.842,0.251,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,12:07:25.342,0.17,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,12:15:40.209,0.15,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,12:46:26.201,0.13,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,12:49:07.013,0.16,10.0,销售,否,2020-07-05,5.44
102900005116233,红椒(1),辣椒类,13:27:33.571,0.391,10.0,销售,否,2020-07-05,5.44
