日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.343,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.343,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.165,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.315,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.136,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.293,14.0,销售,否,8.24,8.93
2020-07-01,102900011001219,红灯笼椒(1),辣椒类,0.358,14.0,销售,否,8.24,8.93
2020-07-02,102900011001219,红灯笼椒(1),辣椒类,0.334,12.0,销售,否,8.24,8.93
2020-07-02,102900011001219,红灯笼椒(1),辣椒类,0.334,12.0,销售,否,8.24,8.93
2020-07-02,102900011001219,红灯笼椒(1),辣椒类,0.434,12.0,销售,否,8.24,8.93
2020-07-02,102900011001219,红灯笼椒(1),辣椒类,0.292,12.0,销售,否,8.24,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.25,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.415,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.329,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.351,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.343,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.236,14.0,销售,否,7.0,8.93
2020-07-03,102900011001219,红灯笼椒(1),辣椒类,0.315,14.0,销售,否,7.0,8.93
2020-07-04,102900011001219,红灯笼椒(1),辣椒类,0.308,14.0,销售,否,7.37,8.93
2020-07-04,102900011001219,红灯笼椒(1),辣椒类,0.379,14.0,销售,否,7.37,8.93
2020-07-04,102900011001219,红灯笼椒(1),辣椒类,0.258,14.0,销售,否,7.37,8.93
2020-07-05,102900011001219,红灯笼椒(1),辣椒类,0.25,16.0,销售,否,7.3,8.93
2020-07-05,102900011001219,红灯笼椒(1),辣椒类,0.319,16.0,销售,否,7.3,8.93
2020-07-05,102900011001219,红灯笼椒(1),辣椒类,0.344,16.0,销售,否,7.3,8.93
2020-07-05,102900011001219,红灯笼椒(1),辣椒类,0.369,16.0,销售,否,7.3,8.93
2020-07-06,102900011001219,红灯笼椒(1),辣椒类,0.417,18.0,销售,否,8.05,8.93
2020-07-06,102900011001219,红灯笼椒(1),辣椒类,0.489,18.0,销售,否,8.05,8.93
2020-07-06,102900011001219,红灯笼椒(1),辣椒类,0.328,18.0,销售,否,8.05,8.93
2020-07-07,102900011001219,红灯笼椒(1),辣椒类,0.384,18.0,销售,否,10.56,8.93
