日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-07,102900011007969,红莲藕带,水生根茎类,0.361,10.0,销售,否,5.3,16.63
2020-08-07,102900011007969,红莲藕带,水生根茎类,0.301,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.411,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.21,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.16,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.15,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.361,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.411,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.16,10.0,销售,否,5.3,16.63
2020-08-08,102900011007969,红莲藕带,水生根茎类,0.1,10.0,销售,否,5.3,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.331,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.15,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.15,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.281,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.17,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.14,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.1,10.0,销售,否,5.13,16.63
2020-09-13,102900011007969,红莲藕带,水生根茎类,0.2,10.0,销售,否,5.13,16.63
2022-05-05,102900011007969,红莲藕带,水生根茎类,0.281,10.0,销售,否,9.24,16.63
2022-05-05,102900011007969,红莲藕带,水生根茎类,0.261,10.0,销售,否,9.24,16.63
2022-05-06,102900011007969,红莲藕带,水生根茎类,0.281,10.0,销售,否,9.25,16.63
2022-05-07,102900011007969,红莲藕带,水生根茎类,0.293,12.0,销售,否,9.24,16.63
2022-05-07,102900011007969,红莲藕带,水生根茎类,0.184,12.0,销售,否,9.24,16.63
2022-05-07,102900011007969,红莲藕带,水生根茎类,0.401,12.0,销售,否,9.24,16.63
2022-05-08,102900011007969,红莲藕带,水生根茎类,0.276,12.0,销售,否,9.24,16.63
2022-05-08,102900011007969,红莲藕带,水生根茎类,0.192,12.0,销售,否,9.24,16.63
2022-05-08,102900011007969,红莲藕带,水生根茎类,0.201,12.0,销售,否,9.24,16.63
2022-05-10,102900011007969,红莲藕带,水生根茎类,0.468,12.0,销售,否,8.89,16.63
2022-05-10,102900011007969,红莲藕带,水生根茎类,0.268,12.0,销售,否,8.89,16.63
2022-05-11,102900011007969,红莲藕带,水生根茎类,0.234,12.0,销售,否,7.17,16.63
2022-05-12,102900011007969,红莲藕带,水生根茎类,0.167,12.0,销售,否,7.19,16.63
2022-05-14,102900011007969,红莲藕带,水生根茎类,0.284,12.0,销售,否,7.17,16.63
