日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-28,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.15,9.43
2022-03-28,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.15,9.43
2022-03-28,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.15,9.43
2022-03-28,102900011033234,红薯尖(份),花叶类,1.0,3.4,销售,是,2.15,9.43
2022-03-28,102900011033234,红薯尖(份),花叶类,1.0,3.4,销售,是,2.15,9.43
2022-03-31,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.3,9.43
2022-03-31,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.3,9.43
2022-03-31,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.3,9.43
2022-04-01,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.38,9.43
2022-04-01,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.38,9.43
2022-04-01,102900011033234,红薯尖(份),花叶类,1.0,3.4,销售,是,2.38,9.43
2022-04-01,102900011033234,红薯尖(份),花叶类,1.0,3.4,销售,是,2.38,9.43
2022-04-02,102900011033234,红薯尖(份),花叶类,1.0,4.9,销售,否,2.31,9.43
2022-04-02,102900011033234,红薯尖(份),花叶类,1.0,3.4,销售,是,2.31,9.43
2022-04-03,102900011033234,红薯尖(份),花叶类,1.0,5.9,销售,否,3.36,9.43
2022-04-06,102900011033234,红薯尖(份),花叶类,1.0,5.9,销售,否,3.66,9.43
2022-04-06,102900011033234,红薯尖(份),花叶类,1.0,5.9,销售,否,3.66,9.43
2022-04-06,102900011033234,红薯尖(份),花叶类,1.0,4.1,销售,是,3.66,9.43
2022-04-06,102900011033234,红薯尖(份),花叶类,1.0,4.1,销售,是,3.66,9.43
2022-04-07,102900011033234,红薯尖(份),花叶类,1.0,4.1,销售,是,3.57,9.43
2022-04-07,102900011033234,红薯尖(份),花叶类,1.0,4.1,销售,是,3.57,9.43
