日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.468,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.268,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.217,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.452,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.636,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.535,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.485,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.452,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.953,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.485,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.502,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.217,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.418,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.502,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.628,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.427,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.201,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.477,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.452,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.276,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.201,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.226,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.276,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.477,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.226,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.477,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.553,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.402,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.754,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.302,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.402,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.528,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.427,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.427,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.503,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.276,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.377,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.452,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.854,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.854,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.226,4.0,销售,是,3.6,8.42
2020-07-01,102900005119975,红薯尖,花叶类,0.251,4.0,销售,是,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.401,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.184,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.217,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.334,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.184,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.452,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.217,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.418,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.518,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.234,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.418,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.167,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.251,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.368,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.418,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.468,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.452,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.452,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.334,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.418,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.435,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.217,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.468,6.0,销售,否,3.6,8.42
2020-07-02,102900005119975,红薯尖,花叶类,0.485,6.0,销售,否,3.6,8.42
