日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-06-01,102900011026618,艾蒿,花叶类,0.368,6.0,销售,否,2.41,9.27
2022-06-01,102900011026618,艾蒿,花叶类,0.268,6.0,销售,否,2.41,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.404,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.379,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.253,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.455,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.379,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.354,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.354,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.303,4.0,销售,否,2.8,9.27
2023-06-19,102900011026618,艾蒿,花叶类,0.227,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.379,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.328,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.303,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.202,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.278,4.0,销售,否,2.8,9.27
2023-06-21,102900011026618,艾蒿,花叶类,0.404,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.505,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.429,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.631,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.379,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.429,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.581,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.48,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.48,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.404,4.0,销售,否,2.8,9.27
2023-06-22,102900011026618,艾蒿,花叶类,0.556,4.0,销售,否,2.8,9.27
