日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-06-23,102900011008485,芥菜,花叶类,0.301,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.87,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.585,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.886,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.485,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.284,6.0,销售,否,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,1.45,2.0,销售,是,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.4,2.0,销售,是,3.93,13.75
2021-06-23,102900011008485,芥菜,花叶类,0.55,2.0,销售,是,3.93,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.489,8.0,销售,否,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.84,8.0,销售,否,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.614,8.0,销售,否,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.489,8.0,销售,否,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.367,3.0,销售,是,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.5,3.0,销售,是,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.7,3.0,销售,是,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.533,3.0,销售,是,2.0,13.75
2021-06-24,102900011008485,芥菜,花叶类,0.533,3.0,销售,是,2.0,13.75
2021-07-21,102900011008485,芥菜,花叶类,0.389,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.414,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.288,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.652,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.363,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.363,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.526,8.0,销售,否,3.88,13.75
2021-07-23,102900011008485,芥菜,花叶类,0.426,8.0,销售,否,3.88,13.75
2021-07-24,102900011008485,芥菜,花叶类,0.439,8.0,销售,否,3.86,13.75
2021-07-24,102900011008485,芥菜,花叶类,0.201,8.0,销售,否,3.86,13.75
2021-07-24,102900011008485,芥菜,花叶类,0.902,8.0,销售,否,3.86,13.75
2021-07-24,102900011008485,芥菜,花叶类,0.389,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.528,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.239,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.201,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.766,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.389,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.427,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.314,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.54,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.54,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.214,8.0,销售,否,3.86,13.75
2021-07-25,102900011008485,芥菜,花叶类,0.452,8.0,销售,否,3.86,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.239,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.515,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.239,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.477,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.641,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.49,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.452,8.0,销售,否,3.89,13.75
2021-07-26,102900011008485,芥菜,花叶类,0.214,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.314,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.314,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.402,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.741,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.741,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.402,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.49,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.264,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.716,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.364,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.603,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.276,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.364,8.0,销售,否,3.89,13.75
2021-07-28,102900011008485,芥菜,花叶类,0.779,8.0,销售,否,3.89,13.75
2021-07-30,102900011008485,芥菜,花叶类,0.653,8.0,销售,否,3.87,13.75
2021-07-30,102900011008485,芥菜,花叶类,0.54,8.0,销售,否,3.87,13.75
2021-07-30,102900011008485,芥菜,花叶类,0.591,8.0,销售,否,3.87,13.75
2021-07-30,102900011008485,芥菜,花叶类,0.779,8.0,销售,否,3.87,13.75
2021-07-30,102900011008485,芥菜,花叶类,0.967,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.352,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.578,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.54,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.402,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.339,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.427,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.415,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.339,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.352,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.553,8.0,销售,否,3.87,13.75
2021-07-31,102900011008485,芥菜,花叶类,0.704,8.0,销售,否,3.87,13.75
2021-08-03,102900011008485,芥菜,花叶类,0.336,6.0,销售,否,3.53,13.75
2021-08-03,102900011008485,芥菜,花叶类,0.671,6.0,销售,否,3.53,13.75
2021-08-03,102900011008485,芥菜,花叶类,0.554,6.0,销售,否,3.53,13.75
2021-08-03,102900011008485,芥菜,花叶类,0.503,6.0,销售,否,3.53,13.75
2021-08-03,102900011008485,芥菜,花叶类,1.04,6.0,销售,否,3.53,13.75
2021-08-03,102900011008485,芥菜,花叶类,0.688,6.0,销售,否,3.53,13.75
