日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-05,102900011016909,花茄子,茄类,0.329,14.0,销售,否,10.17,6.98
2020-09-05,102900011016909,花茄子,茄类,0.501,14.0,销售,否,10.17,6.98
2020-09-05,102900011016909,花茄子,茄类,0.265,14.0,销售,否,10.17,6.98
2020-09-05,102900011016909,花茄子,茄类,0.444,14.0,销售,否,10.17,6.98
2020-09-05,102900011016909,花茄子,茄类,0.401,14.0,销售,否,10.17,6.98
2020-09-06,102900011016909,花茄子,茄类,0.451,14.0,销售,否,10.17,6.98
2020-09-06,102900011016909,花茄子,茄类,0.458,14.0,销售,否,10.17,6.98
2020-09-06,102900011016909,花茄子,茄类,0.365,14.0,销售,否,10.17,6.98
2020-09-06,102900011016909,花茄子,茄类,0.444,14.0,销售,否,10.17,6.98
2020-09-06,102900011016909,花茄子,茄类,0.508,14.0,销售,否,10.17,6.98
2020-09-07,102900011016909,花茄子,茄类,0.537,14.0,销售,否,10.17,6.98
2020-09-08,102900011016909,花茄子,茄类,0.508,14.0,销售,否,10.17,6.98
2020-09-08,102900011016909,花茄子,茄类,0.3,14.0,销售,否,10.17,6.98
2020-09-09,102900011016909,花茄子,茄类,0.501,14.0,销售,否,10.17,6.98
2020-09-09,102900011016909,花茄子,茄类,0.579,14.0,销售,否,10.17,6.98
2020-09-09,102900011016909,花茄子,茄类,0.501,14.0,销售,否,10.17,6.98
2020-09-10,102900011016909,花茄子,茄类,0.257,16.0,销售,否,10.17,6.98
2020-09-12,102900011016909,花茄子,茄类,0.469,16.0,销售,否,10.17,6.98
2020-11-30,102900011016909,花茄子,茄类,1.451,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.317,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.277,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.633,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.554,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.673,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.277,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.567,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.633,7.6,销售,否,4.74,6.98
2020-11-30,102900011016909,花茄子,茄类,0.792,7.6,销售,否,4.74,6.98
2020-12-01,102900011016909,花茄子,茄类,0.277,7.6,销售,否,4.74,6.98
2020-12-01,102900011016909,花茄子,茄类,0.343,7.6,销售,否,4.74,6.98
2020-12-01,102900011016909,花茄子,茄类,0.277,7.6,销售,否,4.74,6.98
2020-12-01,102900011016909,花茄子,茄类,0.33,7.6,销售,否,4.74,6.98
2020-12-02,102900011016909,花茄子,茄类,0.515,7.6,销售,否,4.74,6.98
2020-12-03,102900011016909,花茄子,茄类,0.528,7.6,销售,否,4.74,6.98
2020-12-03,102900011016909,花茄子,茄类,0.567,7.6,销售,否,4.74,6.98
2020-12-03,102900011016909,花茄子,茄类,0.528,7.6,销售,否,4.74,6.98
2020-12-04,102900011016909,花茄子,茄类,0.631,10.0,销售,否,4.74,6.98
2020-12-05,102900011016909,花茄子,茄类,0.835,9.0,销售,否,4.74,6.98
2020-12-05,102900011016909,花茄子,茄类,0.278,9.0,销售,否,4.74,6.98
2020-12-06,102900011016909,花茄子,茄类,0.278,9.0,销售,否,4.74,6.98
2020-12-06,102900011016909,花茄子,茄类,0.78,9.0,销售,否,4.74,6.98
2020-12-06,102900011016909,花茄子,茄类,0.479,9.0,销售,否,4.74,6.98
2020-12-06,102900011016909,花茄子,茄类,0.635,9.0,销售,否,4.74,6.98
2020-12-07,102900011016909,花茄子,茄类,0.234,9.0,销售,否,4.74,6.98
2020-12-08,102900011016909,花茄子,茄类,0.523,9.0,销售,否,4.74,6.98
2020-12-08,102900011016909,花茄子,茄类,0.557,9.0,销售,否,4.74,6.98
2020-12-10,102900011016909,花茄子,茄类,0.334,12.0,销售,否,4.74,6.98
2020-12-11,102900011016909,花茄子,茄类,0.718,12.0,销售,否,4.74,6.98
2020-12-11,102900011016909,花茄子,茄类,0.793,12.0,销售,否,4.74,6.98
2020-12-12,102900011016909,花茄子,茄类,0.584,12.0,销售,否,4.74,6.98
2020-12-13,102900011016909,花茄子,茄类,0.591,10.0,销售,否,4.74,6.98
2020-12-13,102900011016909,花茄子,茄类,0.301,10.0,销售,否,4.74,6.98
2020-12-14,102900011016909,花茄子,茄类,0.501,10.0,销售,否,4.74,6.98
2020-12-14,102900011016909,花茄子,茄类,0.551,10.0,销售,否,4.74,6.98
2020-12-14,102900011016909,花茄子,茄类,0.251,10.0,销售,否,4.74,6.98
2020-12-14,102900011016909,花茄子,茄类,0.631,10.0,销售,否,4.74,6.98
2020-12-14,102900011016909,花茄子,茄类,0.271,10.0,销售,否,4.74,6.98
2020-12-15,102900011016909,花茄子,茄类,0.291,10.0,销售,否,4.74,6.98
2020-12-15,102900011016909,花茄子,茄类,0.812,10.0,销售,否,4.74,6.98
2020-12-15,102900011016909,花茄子,茄类,0.441,10.0,销售,否,4.74,6.98
2020-12-17,102900011016909,花茄子,茄类,0.521,10.0,销售,否,4.93,6.98
2020-12-17,102900011016909,花茄子,茄类,0.351,10.0,销售,否,4.93,6.98
2020-12-17,102900011016909,花茄子,茄类,0.411,10.0,销售,否,4.93,6.98
2020-12-18,102900011016909,花茄子,茄类,0.501,10.0,销售,否,7.36,6.98
2020-12-21,102900011016909,花茄子,茄类,0.501,10.0,销售,否,7.37,6.98
2020-12-22,102900011016909,花茄子,茄类,0.281,10.0,销售,否,7.37,6.98
2020-12-23,102900011016909,花茄子,茄类,0.251,10.0,销售,否,7.37,6.98
2020-12-24,102900011016909,花茄子,茄类,0.561,10.0,销售,否,7.37,6.98
2020-12-24,102900011016909,花茄子,茄类,0.541,10.0,销售,否,7.37,6.98
2020-12-29,102900011016909,花茄子,茄类,0.951,14.0,销售,否,5.24,6.98
2020-12-29,102900011016909,花茄子,茄类,0.429,14.0,销售,否,5.24,6.98
2020-12-30,102900011016909,花茄子,茄类,0.25,14.0,销售,否,4.99,6.98
2020-12-30,102900011016909,花茄子,茄类,0.265,14.0,销售,否,4.99,6.98
2020-12-31,102900011016909,花茄子,茄类,0.494,14.0,销售,否,5.0,6.98
2021-02-05,102900011016909,花茄子,茄类,0.802,10.0,销售,否,6.72,6.98
2021-02-05,102900011016909,花茄子,茄类,0.651,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.461,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.421,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.521,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.521,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,1.363,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.872,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.471,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.471,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.411,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.21,10.0,销售,否,6.72,6.98
2021-02-06,102900011016909,花茄子,茄类,0.451,10.0,销售,否,6.72,6.98
2021-02-07,102900011016909,花茄子,茄类,0.417,12.0,销售,否,6.72,6.98
2021-02-07,102900011016909,花茄子,茄类,0.818,12.0,销售,否,6.72,6.98
2021-02-07,102900011016909,花茄子,茄类,0.935,12.0,销售,否,6.72,6.98
2021-02-07,102900011016909,花茄子,茄类,0.467,12.0,销售,否,6.72,6.98
2021-02-07,102900011016909,花茄子,茄类,0.576,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.451,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.518,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.518,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.509,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.985,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.267,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.384,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,1.127,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,1.628,12.0,销售,否,6.72,6.98
2021-02-08,102900011016909,花茄子,茄类,0.751,12.0,销售,否,6.72,6.98
2021-07-14,102900011016909,花茄子,茄类,0.71,12.0,销售,否,5.0,6.98
2021-07-15,102900011016909,花茄子,茄类,0.776,12.0,销售,否,5.0,6.98
2021-07-15,102900011016909,花茄子,茄类,0.701,12.0,销售,否,5.0,6.98
2021-07-15,102900011016909,花茄子,茄类,0.993,12.0,销售,否,5.0,6.98
2021-07-15,102900011016909,花茄子,茄类,0.434,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.417,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.776,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.743,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.609,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.685,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.376,12.0,销售,否,5.0,6.98
2021-07-16,102900011016909,花茄子,茄类,0.76,12.0,销售,否,5.0,6.98
2021-07-17,102900011016909,花茄子,茄类,0.326,12.0,销售,否,5.0,6.98
2021-07-17,102900011016909,花茄子,茄类,0.342,12.0,销售,否,5.0,6.98
2021-07-17,102900011016909,花茄子,茄类,0.693,12.0,销售,否,5.0,6.98
2021-07-17,102900011016909,花茄子,茄类,0.877,12.0,销售,否,5.0,6.98
2022-05-01,102900011016909,花茄子,茄类,0.251,12.0,销售,否,6.91,6.98
2022-05-01,102900011016909,花茄子,茄类,0.594,12.0,销售,否,6.91,6.98
2022-05-02,102900011016909,花茄子,茄类,0.493,12.0,销售,否,6.91,6.98
2022-05-02,102900011016909,花茄子,茄类,0.602,12.0,销售,否,6.91,6.98
2022-05-03,102900011016909,花茄子,茄类,0.794,12.0,销售,否,6.91,6.98
2022-05-03,102900011016909,花茄子,茄类,0.468,12.0,销售,否,6.91,6.98
2022-05-03,102900011016909,花茄子,茄类,0.911,12.0,销售,否,6.91,6.98
2022-05-04,102900011016909,花茄子,茄类,0.426,12.0,销售,否,6.91,6.98
2022-05-04,102900011016909,花茄子,茄类,0.677,12.0,销售,否,6.91,6.98
2022-05-04,102900011016909,花茄子,茄类,0.418,12.0,销售,否,6.91,6.98
2022-05-05,102900011016909,花茄子,茄类,0.334,12.0,销售,否,6.91,6.98
2022-05-06,102900011016909,花茄子,茄类,0.702,12.0,销售,否,6.91,6.98
2022-05-06,102900011016909,花茄子,茄类,0.836,12.0,销售,否,6.91,6.98
2022-05-07,102900011016909,花茄子,茄类,0.56,12.0,销售,否,6.91,6.98
2022-05-08,102900011016909,花茄子,茄类,0.226,12.0,销售,否,6.94,6.98
2022-05-08,102900011016909,花茄子,茄类,0.393,12.0,销售,否,6.94,6.98
2022-05-09,102900011016909,花茄子,茄类,0.518,12.0,销售,否,7.04,6.98
2022-05-09,102900011016909,花茄子,茄类,0.518,12.0,销售,否,7.04,6.98
2022-05-10,102900011016909,花茄子,茄类,0.819,12.0,销售,否,7.04,6.98
2022-05-10,102900011016909,花茄子,茄类,0.159,12.0,销售,否,7.04,6.98
2022-05-10,102900011016909,花茄子,茄类,0.393,12.0,销售,否,7.04,6.98
2022-05-10,102900011016909,花茄子,茄类,0.217,12.0,销售,否,7.04,6.98
2022-05-10,102900011016909,花茄子,茄类,0.644,12.0,销售,否,7.04,6.98
2022-05-11,102900011016909,花茄子,茄类,0.192,12.0,销售,否,7.04,6.98
2022-05-12,102900011016909,花茄子,茄类,0.627,12.0,销售,否,7.04,6.98
2022-05-12,102900011016909,花茄子,茄类,0.577,12.0,销售,否,7.04,6.98
