日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-04-16,102900011034200,苋菜(份),花叶类,1.0,1.5,销售,否,0.84,9.43
2022-04-16,102900011034200,苋菜(份),花叶类,1.0,1.5,销售,否,0.84,9.43
2022-04-16,102900011034200,苋菜(份),花叶类,1.0,1.5,销售,否,0.84,9.43
2022-04-16,102900011034200,苋菜(份),花叶类,1.0,1.5,销售,否,0.84,9.43
2022-04-16,102900011034200,苋菜(份),花叶类,1.0,1.5,销售,否,0.84,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-19,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.2,9.43
2022-04-21,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.31,9.43
2022-04-21,102900011034200,苋菜(份),花叶类,1.0,1.8,销售,是,1.31,9.43
2022-04-21,102900011034200,苋菜(份),花叶类,1.0,1.8,销售,是,1.31,9.43
2022-04-22,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.3,9.43
2022-04-22,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.3,9.43
2022-04-22,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.3,9.43
2022-04-23,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.3,9.43
2022-04-23,102900011034200,苋菜(份),花叶类,1.0,2.5,销售,否,1.3,9.43
2022-04-24,102900011034200,苋菜(份),花叶类,1.0,1.8,销售,是,1.31,9.43
2022-04-25,102900011034200,苋菜(份),花叶类,1.0,1.9,销售,否,1.3,9.43
2022-04-27,102900011034200,苋菜(份),花叶类,1.0,1.9,销售,否,0.98,9.43
2022-04-27,102900011034200,苋菜(份),花叶类,1.0,1.9,销售,否,0.98,9.43
2022-04-28,102900011034200,苋菜(份),花叶类,1.0,1.9,销售,否,1.0,9.43
2022-04-29,102900011034200,苋菜(份),花叶类,1.0,1.3,销售,是,1.0,9.43
2022-06-20,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.08,9.43
2022-06-20,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.08,9.43
2022-06-22,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.16,9.43
2022-06-22,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.16,9.43
2022-06-28,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.21,9.43
2022-06-29,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.21,9.43
2022-07-02,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,0.67,9.43
2022-08-04,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.44,9.43
2022-08-04,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.44,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.39,9.43
2022-08-06,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.39,9.43
2022-08-07,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2022-08-07,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2022-08-07,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2022-08-07,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-08,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.47,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,2.9,销售,否,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.55,9.43
2022-08-09,102900011034200,苋菜(份),花叶类,1.0,1.7,销售,是,1.55,9.43
