日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005115762,苋菜,花叶类,0.686,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.702,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.636,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.485,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.619,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.602,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.619,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.452,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.602,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.518,6.0,销售,否,3.88,18.52
2020-07-01,102900005115762,苋菜,花叶类,0.92,6.0,销售,否,3.88,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.535,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.652,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.552,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.502,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.569,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.602,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.652,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.552,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.585,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.569,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.669,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.552,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.552,6.0,销售,否,3.93,18.52
2020-07-02,102900005115762,苋菜,花叶类,0.569,6.0,销售,否,3.93,18.52
2020-07-03,102900005115762,苋菜,花叶类,0.886,6.0,销售,否,3.57,18.52
2020-07-03,102900005115762,苋菜,花叶类,0.669,6.0,销售,否,3.57,18.52
