日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-16,102900011030103,茼蒿(份),花叶类,2.0,1.5,销售,否,0.86,9.43
2021-12-16,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.86,9.43
2021-12-16,102900011030103,茼蒿(份),花叶类,1.0,0.9,销售,是,0.86,9.43
2021-12-22,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.83,9.43
2021-12-22,102900011030103,茼蒿(份),花叶类,1.0,0.9,销售,是,0.83,9.43
2021-12-22,102900011030103,茼蒿(份),花叶类,1.0,0.9,销售,是,0.83,9.43
2021-12-22,102900011030103,茼蒿(份),花叶类,1.0,0.9,销售,是,0.83,9.43
2021-12-23,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.81,9.43
2021-12-24,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.66,9.43
2021-12-24,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.66,9.43
2021-12-24,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.66,9.43
2021-12-24,102900011030103,茼蒿(份),花叶类,1.0,0.9,销售,是,0.66,9.43
2021-12-24,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.66,9.43
2021-12-25,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-25,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-25,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-25,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-25,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-26,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-26,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-26,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
2021-12-26,102900011030103,茼蒿(份),花叶类,1.0,1.5,销售,否,0.64,9.43
