日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-11-09,102900011008676,荠菜,花叶类,0.501,7.0,销售,否,4.0,11.56
2020-11-09,102900011008676,荠菜,花叶类,0.401,7.0,销售,否,4.0,11.56
2020-11-09,102900011008676,荠菜,花叶类,0.731,7.0,销售,否,4.0,11.56
2020-11-09,102900011008676,荠菜,花叶类,0.459,7.0,销售,否,4.0,11.56
2020-11-11,102900011008676,荠菜,花叶类,0.301,7.0,销售,否,4.0,11.56
2020-11-11,102900011008676,荠菜,花叶类,0.172,7.0,销售,否,4.0,11.56
2020-11-11,102900011008676,荠菜,花叶类,0.4,4.0,销售,是,4.0,11.56
2020-11-11,102900011008676,荠菜,花叶类,0.375,4.0,销售,是,4.0,11.56
2020-11-12,102900011008676,荠菜,花叶类,0.559,7.0,销售,否,4.0,11.56
2020-11-12,102900011008676,荠菜,花叶类,0.244,7.0,销售,否,4.0,11.56
2020-11-13,102900011008676,荠菜,花叶类,0.272,7.0,销售,否,4.0,11.56
2020-11-13,102900011008676,荠菜,花叶类,0.33,7.0,销售,否,4.0,11.56
2020-11-13,102900011008676,荠菜,花叶类,0.55,4.0,销售,是,4.0,11.56
2020-11-14,102900011008676,荠菜,花叶类,0.888,7.0,销售,否,4.0,11.56
2020-12-07,102900011008676,荠菜,花叶类,1.118,7.0,销售,否,4.0,11.56
2020-12-07,102900011008676,荠菜,花叶类,0.143,7.0,销售,否,4.0,11.56
2020-12-09,102900011008676,荠菜,花叶类,0.567,3.0,销售,是,4.0,11.56
2020-12-09,102900011008676,荠菜,花叶类,0.6,3.0,销售,是,4.0,11.56
2020-12-19,102900011008676,荠菜,花叶类,0.258,7.0,销售,否,3.95,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.416,7.0,销售,否,4.49,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.244,7.0,销售,否,4.49,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.501,7.0,销售,否,4.49,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.416,7.0,销售,否,4.49,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.344,7.0,销售,否,4.49,11.56
2020-12-21,102900011008676,荠菜,花叶类,0.667,3.0,销售,是,4.49,11.56
2021-02-23,102900011008676,荠菜,花叶类,0.783,5.0,销售,否,3.0,11.56
2021-02-23,102900011008676,荠菜,花叶类,0.502,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.462,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.442,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.221,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.341,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.121,5.0,销售,否,3.0,11.56
2021-02-25,102900011008676,荠菜,花叶类,0.442,5.0,销售,否,3.0,11.56
2023-02-06,102900011008676,荠菜,花叶类,0.232,4.8,销售,是,11.19,11.56
2023-02-06,102900011008676,荠菜,花叶类,0.401,4.8,销售,是,11.19,11.56
2023-02-06,102900011008676,荠菜,花叶类,0.251,4.8,销售,是,11.19,11.56
2023-02-08,102900011008676,荠菜,花叶类,0.138,6.4,销售,是,11.16,11.56
2023-02-10,102900011008676,荠菜,花叶类,0.094,16.0,销售,否,11.17,11.56
