日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-12-02,102900011009277,荸荠,水生根茎类,0.501,8.0,销售,否,4.48,11.02
2020-12-02,102900011009277,荸荠,水生根茎类,0.476,8.0,销售,否,4.48,11.02
2020-12-02,102900011009277,荸荠,水生根茎类,0.401,8.0,销售,否,4.48,11.02
2020-12-02,102900011009277,荸荠,水生根茎类,0.426,8.0,销售,否,4.48,11.02
2020-12-02,102900011009277,荸荠,水生根茎类,0.514,8.0,销售,否,4.48,11.02
2020-12-02,102900011009277,荸荠,水生根茎类,0.464,8.0,销售,否,4.48,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.514,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.389,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.389,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.326,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.489,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.526,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.476,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.401,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.526,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.476,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.476,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.501,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.576,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.639,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.501,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.501,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.501,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.551,8.0,销售,否,4.47,11.02
2020-12-03,102900011009277,荸荠,水生根茎类,0.426,8.0,销售,否,4.47,11.02
