日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,1.0,销售,是,1.44,12.17
2020-07-23,102900011001561,莲蓬(个),水生根茎类,2.0,1.0,销售,是,1.44,12.17
2020-08-14,102900011001561,莲蓬(个),水生根茎类,2.0,2.9,销售,否,0.78,12.17
2020-08-14,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,0.78,12.17
2020-08-14,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,0.78,12.17
2020-08-14,102900011001561,莲蓬(个),水生根茎类,1.0,2.9,销售,否,0.78,12.17
2020-08-14,102900011001561,莲蓬(个),水生根茎类,3.0,2.9,销售,否,0.78,12.17
2020-08-21,102900011001561,莲蓬(个),水生根茎类,1.0,1.9,销售,否,0.77,12.17
2020-08-21,102900011001561,莲蓬(个),水生根茎类,5.0,1.9,销售,否,0.77,12.17
2020-08-21,102900011001561,莲蓬(个),水生根茎类,1.0,1.9,销售,否,0.77,12.17
2020-08-21,102900011001561,莲蓬(个),水生根茎类,1.0,1.9,销售,否,0.77,12.17
2020-08-21,102900011001561,莲蓬(个),水生根茎类,2.0,1.9,销售,否,0.77,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,2.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,5.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,2.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,3.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,2.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,3.0,1.9,销售,否,0.76,12.17
2020-08-22,102900011001561,莲蓬(个),水生根茎类,2.0,1.9,销售,否,0.76,12.17
