日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-18,102900011027615,菊花油菜,花叶类,0.351,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.301,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.601,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.331,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.281,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.351,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.311,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.281,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.311,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.331,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.842,10.0,销售,否,6.3,3.43
2021-07-18,102900011027615,菊花油菜,花叶类,0.591,10.0,销售,否,6.3,3.43
2021-07-20,102900011027615,菊花油菜,花叶类,0.561,10.0,销售,否,6.3,3.43
2021-07-20,102900011027615,菊花油菜,花叶类,0.271,10.0,销售,否,6.3,3.43
2021-07-21,102900011027615,菊花油菜,花叶类,0.451,10.0,销售,否,6.3,3.43
2021-07-21,102900011027615,菊花油菜,花叶类,0.281,10.0,销售,否,6.3,3.43
2021-07-22,102900011027615,菊花油菜,花叶类,0.461,10.0,销售,否,6.3,3.43
2021-07-22,102900011027615,菊花油菜,花叶类,0.571,10.0,销售,否,6.3,3.43
2021-07-23,102900011027615,菊花油菜,花叶类,0.251,10.0,销售,否,6.3,3.43
2021-07-23,102900011027615,菊花油菜,花叶类,0.481,10.0,销售,否,6.3,3.43
2021-07-23,102900011027615,菊花油菜,花叶类,0.261,10.0,销售,否,6.3,3.43
