日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-12-29,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-29,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-29,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-29,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-30,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-30,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-30,102900011036068,菌蔬四宝(份),食用菌,1.0,4.7,销售,是,2.85,9.43
2022-12-30,102900011036068,菌蔬四宝(份),食用菌,1.0,4.7,销售,是,2.85,9.43
2022-12-30,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-31,102900011036068,菌蔬四宝(份),食用菌,1.0,4.7,销售,是,2.85,9.43
2022-12-31,102900011036068,菌蔬四宝(份),食用菌,1.0,7.9,销售,否,2.85,9.43
2022-12-31,102900011036068,菌蔬四宝(份),食用菌,1.0,4.7,销售,是,2.85,9.43
2023-01-01,102900011036068,菌蔬四宝(份),食用菌,1.0,4.7,销售,是,2.85,9.43
