日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-16,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.15,9.43
2021-12-16,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.15,9.43
2021-12-16,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,1.15,9.43
2021-12-16,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,1.15,9.43
2021-12-16,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,1.15,9.43
2021-12-17,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.03,9.43
2021-12-17,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.03,9.43
2021-12-17,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,1.03,9.43
2021-12-18,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.07,9.43
2021-12-18,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.07,9.43
2021-12-18,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,1.07,9.43
2021-12-20,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.1,9.43
2021-12-20,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.1,9.43
2021-12-20,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.1,9.43
2021-12-20,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,1.1,9.43
2021-12-23,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.96,9.43
2021-12-23,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.96,9.43
2021-12-23,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.96,9.43
2021-12-23,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.96,9.43
2021-12-24,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.93,9.43
2021-12-24,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.93,9.43
2021-12-24,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,0.93,9.43
2021-12-24,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.93,9.43
2021-12-24,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,0.93,9.43
2021-12-25,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-25,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-25,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-26,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,0.91,9.43
2021-12-27,102900011030134,菜心(份),花叶类,1.0,1.9,销售,否,0.91,9.43
2021-12-27,102900011030134,菜心(份),花叶类,1.0,1.1,销售,是,0.91,9.43
