日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-16,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.33,9.43
2021-12-16,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.33,9.43
2021-12-16,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.33,9.43
2021-12-16,102900011030110,菠菜(份),花叶类,1.0,1.7,销售,是,1.33,9.43
2021-12-16,102900011030110,菠菜(份),花叶类,1.0,1.7,销售,是,1.33,9.43
2021-12-17,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2021-12-17,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2021-12-17,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2021-12-17,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.39,9.43
2021-12-23,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-23,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-23,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-23,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-23,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-24,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2021-12-24,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2021-12-24,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2021-12-24,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.38,9.43
2021-12-24,102900011030110,菠菜(份),花叶类,1.0,1.7,销售,是,1.38,9.43
2021-12-25,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.32,9.43
2021-12-25,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.32,9.43
2021-12-25,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.32,9.43
2021-12-25,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.32,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-26,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-27,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-27,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-27,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-27,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-28,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-28,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.37,9.43
2021-12-28,102900011030110,菠菜(份),花叶类,1.0,1.7,销售,是,1.37,9.43
2021-12-28,102900011030110,菠菜(份),花叶类,1.0,1.7,销售,是,1.37,9.43
2021-12-30,102900011030110,菠菜(份),花叶类,1.0,2.9,销售,否,1.15,9.43
