日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-10,102900011001691,菱角,水生根茎类,0.422,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.315,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.844,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.157,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.079,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.322,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.143,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,1.066,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.365,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.258,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.451,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.351,14.0,销售,否,8.18,9.61
2020-08-10,102900011001691,菱角,水生根茎类,0.064,14.0,销售,否,8.18,9.61
2020-08-11,102900011001691,菱角,水生根茎类,0.25,14.0,销售,否,8.18,9.61
2020-08-11,102900011001691,菱角,水生根茎类,0.551,14.0,销售,否,8.18,9.61
2020-08-11,102900011001691,菱角,水生根茎类,0.157,14.0,销售,否,8.18,9.61
2020-08-11,102900011001691,菱角,水生根茎类,0.518,12.0,销售,是,8.18,9.61
2020-08-11,102900011001691,菱角,水生根茎类,0.259,12.0,销售,是,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.486,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.901,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.179,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.3,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.343,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.351,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.622,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.136,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.193,14.0,销售,否,8.18,9.61
2020-08-12,102900011001691,菱角,水生根茎类,0.072,14.0,销售,否,8.18,9.61
2021-07-12,102900011001691,菱角,水生根茎类,0.404,19.8,销售,否,10.23,9.61
2021-07-12,102900011001691,菱角,水生根茎类,0.293,19.8,销售,否,10.23,9.61
2021-07-12,102900011001691,菱角,水生根茎类,0.455,19.8,销售,否,10.23,9.61
2021-07-12,102900011001691,菱角,水生根茎类,0.53,19.8,销售,否,10.23,9.61
2021-07-12,102900011001691,菱角,水生根茎类,0.692,19.8,销售,否,10.23,9.61
2021-07-13,102900011001691,菱角,水生根茎类,0.364,19.8,销售,否,10.23,9.61
2021-07-13,102900011001691,菱角,水生根茎类,0.258,19.8,销售,否,10.23,9.61
2021-07-13,102900011001691,菱角,水生根茎类,0.439,19.8,销售,否,10.23,9.61
2021-07-14,102900011001691,菱角,水生根茎类,0.349,19.8,销售,否,10.23,9.61
2021-07-14,102900011001691,菱角,水生根茎类,0.283,6.0,销售,是,10.23,9.61
2021-07-14,102900011001691,菱角,水生根茎类,0.367,6.0,销售,是,10.23,9.61
2021-07-14,102900011001691,菱角,水生根茎类,0.45,6.0,销售,是,10.23,9.61
2021-07-16,102900011001691,菱角,水生根茎类,0.25,4.0,销售,否,10.23,9.61
2021-07-16,102900011001691,菱角,水生根茎类,1.375,4.0,销售,否,10.23,9.61
2021-07-16,102900011001691,菱角,水生根茎类,0.25,4.0,销售,否,10.23,9.61
2021-07-16,102900011001691,菱角,水生根茎类,1.325,4.0,销售,否,10.23,9.61
2021-07-16,102900011001691,菱角,水生根茎类,0.55,4.0,销售,否,10.23,9.61
2021-07-17,102900011001691,菱角,水生根茎类,0.676,16.0,销售,否,10.23,9.61
2021-07-17,102900011001691,菱角,水生根茎类,0.357,16.0,销售,否,10.23,9.61
2021-07-17,102900011001691,菱角,水生根茎类,0.344,16.0,销售,否,10.23,9.61
2021-07-17,102900011001691,菱角,水生根茎类,0.313,16.0,销售,否,10.23,9.61
2021-07-17,102900011001691,菱角,水生根茎类,0.15,16.0,销售,否,10.23,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.338,16.0,销售,否,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.094,16.0,销售,否,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.889,16.0,销售,否,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.269,16.0,销售,否,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.45,4.0,销售,是,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.45,4.0,销售,是,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.475,4.0,销售,是,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.525,4.0,销售,是,8.7,9.61
2021-07-18,102900011001691,菱角,水生根茎类,0.7,4.0,销售,是,8.7,9.61
2022-05-30,102900011001691,菱角,水生根茎类,0.48,19.8,销售,否,13.68,9.61
2022-05-30,102900011001691,菱角,水生根茎类,0.212,19.8,销售,否,13.68,9.61
2022-06-02,102900011001691,菱角,水生根茎类,0.242,19.8,销售,否,13.68,9.61
2022-06-03,102900011001691,菱角,水生根茎类,0.248,19.8,销售,否,13.36,9.61
2022-06-03,102900011001691,菱角,水生根茎类,0.768,19.8,销售,否,13.36,9.61
2022-06-03,102900011001691,菱角,水生根茎类,0.414,19.8,销售,否,13.36,9.61
2022-06-05,102900011001691,菱角,水生根茎类,0.652,19.8,销售,否,8.21,9.61
2022-06-12,102900011001691,菱角,水生根茎类,0.212,19.8,销售,否,12.25,9.61
2022-06-12,102900011001691,菱角,水生根茎类,0.404,19.8,销售,否,12.25,9.61
2022-06-12,102900011001691,菱角,水生根茎类,0.187,19.8,销售,否,12.25,9.61
2022-06-13,102900011001691,菱角,水生根茎类,0.384,19.8,销售,否,12.27,9.61
2022-06-13,102900011001691,菱角,水生根茎类,0.414,19.8,销售,否,12.27,9.61
2022-06-14,102900011001691,菱角,水生根茎类,0.54,19.8,销售,否,12.52,9.61
2022-06-14,102900011001691,菱角,水生根茎类,0.394,19.8,销售,否,12.52,9.61
2022-06-15,102900011001691,菱角,水生根茎类,0.394,19.8,销售,否,12.53,9.61
2022-06-15,102900011001691,菱角,水生根茎类,0.192,19.8,销售,否,12.53,9.61
2022-06-17,102900011001691,菱角,水生根茎类,0.404,19.8,销售,否,12.52,9.61
2022-06-18,102900011001691,菱角,水生根茎类,0.177,19.8,销售,否,12.51,9.61
2022-06-18,102900011001691,菱角,水生根茎类,0.222,19.8,销售,否,12.51,9.61
2022-06-20,102900011001691,菱角,水生根茎类,0.197,19.8,销售,否,12.12,9.61
2022-06-20,102900011001691,菱角,水生根茎类,0.384,19.8,销售,否,12.12,9.61
2022-06-21,102900011001691,菱角,水生根茎类,0.263,19.8,销售,否,12.03,9.61
2022-06-21,102900011001691,菱角,水生根茎类,0.202,19.8,销售,否,12.03,9.61
2022-06-21,102900011001691,菱角,水生根茎类,0.172,19.8,销售,否,12.03,9.61
2022-06-25,102900011001691,菱角,水生根茎类,0.192,19.8,销售,否,11.52,9.61
2022-06-25,102900011001691,菱角,水生根茎类,0.682,19.8,销售,否,11.52,9.61
2022-06-28,102900011001691,菱角,水生根茎类,0.687,19.8,销售,否,11.29,9.61
2022-06-29,102900011001691,菱角,水生根茎类,0.213,16.0,销售,否,11.28,9.61
2022-06-29,102900011001691,菱角,水生根茎类,0.213,16.0,销售,否,11.28,9.61
2022-06-29,102900011001691,菱角,水生根茎类,0.182,16.0,销售,否,11.28,9.61
2022-06-30,102900011001691,菱角,水生根茎类,0.15,16.0,销售,否,11.29,9.61
2022-07-01,102900011001691,菱角,水生根茎类,0.32,16.0,销售,否,10.36,9.61
2022-07-01,102900011001691,菱角,水生根茎类,0.451,16.0,销售,否,10.36,9.61
2022-07-03,102900011001691,菱角,水生根茎类,0.915,16.0,销售,否,10.19,9.61
2022-07-03,102900011001691,菱角,水生根茎类,0.307,16.0,销售,否,10.19,9.61
2022-07-04,102900011001691,菱角,水生根茎类,0.107,16.0,销售,否,10.0,9.61
2022-07-04,102900011001691,菱角,水生根茎类,0.163,16.0,销售,否,10.0,9.61
2022-07-04,102900011001691,菱角,水生根茎类,0.871,16.0,销售,否,10.0,9.61
2022-07-05,102900011001691,菱角,水生根茎类,0.188,16.0,销售,否,10.22,9.61
2022-07-05,102900011001691,菱角,水生根茎类,0.201,16.0,销售,否,10.22,9.61
2022-07-05,102900011001691,菱角,水生根茎类,0.451,16.0,销售,否,10.22,9.61
2022-07-05,102900011001691,菱角,水生根茎类,0.157,16.0,销售,否,10.22,9.61
2022-07-08,102900011001691,菱角,水生根茎类,0.207,16.0,销售,否,10.19,9.61
2022-07-08,102900011001691,菱角,水生根茎类,1.51,16.0,销售,否,10.19,9.61
2022-07-08,102900011001691,菱角,水生根茎类,0.282,16.0,销售,否,10.19,9.61
2022-07-09,102900011001691,菱角,水生根茎类,0.182,16.0,销售,否,9.16,9.61
2022-07-09,102900011001691,菱角,水生根茎类,0.376,16.0,销售,否,9.16,9.61
2022-07-10,102900011001691,菱角,水生根茎类,0.407,16.0,销售,否,8.42,9.61
2022-07-10,102900011001691,菱角,水生根茎类,0.483,16.0,销售,否,8.42,9.61
2022-07-14,102900011001691,菱角,水生根茎类,0.457,16.0,销售,否,8.31,9.61
2022-07-15,102900011001691,菱角,水生根茎类,0.395,16.0,销售,否,8.21,9.61
2022-07-15,102900011001691,菱角,水生根茎类,0.382,16.0,销售,否,8.21,9.61
2022-07-16,102900011001691,菱角,水生根茎类,0.414,16.0,销售,否,8.18,9.61
2022-07-16,102900011001691,菱角,水生根茎类,0.451,16.0,销售,否,8.18,9.61
2022-07-16,102900011001691,菱角,水生根茎类,0.226,16.0,销售,否,8.18,9.61
2022-07-18,102900011001691,菱角,水生根茎类,0.201,16.0,销售,否,7.44,9.61
2022-07-18,102900011001691,菱角,水生根茎类,0.207,16.0,销售,否,7.44,9.61
2022-07-18,102900011001691,菱角,水生根茎类,0.363,16.0,销售,否,7.44,9.61
2022-07-19,102900011001691,菱角,水生根茎类,0.244,16.0,销售,否,7.44,9.61
2022-07-19,102900011001691,菱角,水生根茎类,0.589,16.0,销售,否,7.44,9.61
2022-07-19,102900011001691,菱角,水生根茎类,0.175,16.0,销售,否,7.44,9.61
2022-07-19,102900011001691,菱角,水生根茎类,0.257,16.0,销售,否,7.44,9.61
2022-07-20,102900011001691,菱角,水生根茎类,0.213,16.0,销售,否,7.14,9.61
2022-07-21,102900011001691,菱角,水生根茎类,0.213,16.0,销售,否,7.14,9.61
2022-07-21,102900011001691,菱角,水生根茎类,0.871,16.0,销售,否,7.14,9.61
2022-07-22,102900011001691,菱角,水生根茎类,0.959,16.0,销售,否,6.61,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.326,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.201,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.89,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.389,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.351,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.169,16.0,销售,否,6.19,9.61
2022-07-25,102900011001691,菱角,水生根茎类,0.219,16.0,销售,否,6.19,9.61
2022-07-30,102900011001691,菱角,水生根茎类,0.291,10.0,销售,否,6.16,9.61
2022-07-30,102900011001691,菱角,水生根茎类,0.281,10.0,销售,否,6.16,9.61
2022-07-30,102900011001691,菱角,水生根茎类,0.1,10.0,销售,否,6.16,9.61
2022-07-31,102900011001691,菱角,水生根茎类,0.251,10.0,销售,否,6.15,9.61
2022-07-31,102900011001691,菱角,水生根茎类,0.231,10.0,销售,否,6.15,9.61
2022-07-31,102900011001691,菱角,水生根茎类,0.271,10.0,销售,否,6.15,9.61
2022-07-31,102900011001691,菱角,水生根茎类,1.034,10.0,销售,否,6.15,9.61
2022-08-01,102900011001691,菱角,水生根茎类,0.231,10.0,销售,否,6.16,9.61
2022-08-01,102900011001691,菱角,水生根茎类,0.281,10.0,销售,否,6.16,9.61
2022-08-01,102900011001691,菱角,水生根茎类,0.592,10.0,销售,否,6.16,9.61
2022-08-01,102900011001691,菱角,水生根茎类,0.151,10.0,销售,否,6.16,9.61
2022-08-01,102900011001691,菱角,水生根茎类,0.432,10.0,销售,否,6.16,9.61
2022-08-02,102900011001691,菱角,水生根茎类,0.301,10.0,销售,否,6.19,9.61
2022-08-02,102900011001691,菱角,水生根茎类,0.623,10.0,销售,否,6.19,9.61
2022-08-03,102900011001691,菱角,水生根茎类,0.1,10.0,销售,否,6.15,9.61
2022-08-03,102900011001691,菱角,水生根茎类,0.392,10.0,销售,否,6.15,9.61
2022-08-03,102900011001691,菱角,水生根茎类,0.191,10.0,销售,否,6.15,9.61
2022-08-03,102900011001691,菱角,水生根茎类,0.532,10.0,销售,否,6.15,9.61
2022-08-03,102900011001691,菱角,水生根茎类,0.382,10.0,销售,否,6.15,9.61
2022-08-04,102900011001691,菱角,水生根茎类,0.372,10.0,销售,否,6.15,9.61
2022-08-04,102900011001691,菱角,水生根茎类,0.171,10.0,销售,否,6.15,9.61
2022-08-05,102900011001691,菱角,水生根茎类,0.904,10.0,销售,否,6.15,9.61
2022-08-05,102900011001691,菱角,水生根茎类,0.241,10.0,销售,否,6.15,9.61
2022-08-05,102900011001691,菱角,水生根茎类,0.191,10.0,销售,否,6.15,9.61
2022-08-06,102900011001691,菱角,水生根茎类,0.412,10.0,销售,否,6.15,9.61
2022-08-06,102900011001691,菱角,水生根茎类,0.201,10.0,销售,否,6.15,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.311,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.241,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.1,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.572,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.643,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.07,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.924,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.542,10.0,销售,否,6.18,9.61
2022-08-07,102900011001691,菱角,水生根茎类,0.452,10.0,销售,否,6.18,9.61
2022-08-08,102900011001691,菱角,水生根茎类,0.934,10.0,销售,否,6.2,9.61
2022-08-09,102900011001691,菱角,水生根茎类,0.763,10.0,销售,否,6.0,9.61
2022-08-09,102900011001691,菱角,水生根茎类,0.472,10.0,销售,否,6.0,9.61
2022-08-10,102900011001691,菱角,水生根茎类,0.372,10.0,销售,否,5.15,9.61
2022-08-10,102900011001691,菱角,水生根茎类,0.331,10.0,销售,否,5.15,9.61
2022-08-11,102900011001691,菱角,水生根茎类,0.522,10.0,销售,否,5.13,9.61
2022-08-11,102900011001691,菱角,水生根茎类,0.191,10.0,销售,否,5.13,9.61
2022-08-12,102900011001691,菱角,水生根茎类,0.452,10.0,销售,否,5.16,9.61
2022-08-12,102900011001691,菱角,水生根茎类,0.382,10.0,销售,否,5.16,9.61
2022-08-14,102900011001691,菱角,水生根茎类,0.512,10.0,销售,否,5.02,9.61
2022-08-14,102900011001691,菱角,水生根茎类,0.753,10.0,销售,否,5.02,9.61
2022-08-14,102900011001691,菱角,水生根茎类,0.432,10.0,销售,否,5.02,9.61
2022-08-14,102900011001691,菱角,水生根茎类,0.522,10.0,销售,否,5.02,9.61
2022-08-14,102900011001691,菱角,水生根茎类,0.221,10.0,销售,否,5.02,9.61
2022-08-15,102900011001691,菱角,水生根茎类,0.562,10.0,销售,否,5.16,9.61
2022-08-15,102900011001691,菱角,水生根茎类,0.131,10.0,销售,否,5.16,9.61
2022-08-15,102900011001691,菱角,水生根茎类,0.291,10.0,销售,否,5.16,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.472,10.0,销售,否,5.21,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.321,10.0,销售,否,5.21,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.522,10.0,销售,否,5.21,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.231,10.0,销售,否,5.21,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.372,10.0,销售,否,5.21,9.61
2022-08-16,102900011001691,菱角,水生根茎类,0.602,10.0,销售,否,5.21,9.61
2022-08-17,102900011001691,菱角,水生根茎类,0.161,10.0,销售,否,5.2,9.61
2022-08-17,102900011001691,菱角,水生根茎类,0.663,10.0,销售,否,5.2,9.61
2022-08-18,102900011001691,菱角,水生根茎类,2.269,10.0,销售,否,5.12,9.61
2022-08-18,102900011001691,菱角,水生根茎类,0.643,10.0,销售,否,5.12,9.61
2022-08-18,102900011001691,菱角,水生根茎类,0.211,10.0,销售,否,5.12,9.61
2022-08-18,102900011001691,菱角,水生根茎类,0.191,10.0,销售,否,5.12,9.61
2022-08-19,102900011001691,菱角,水生根茎类,0.874,10.0,销售,否,5.1,9.61
2022-08-20,102900011001691,菱角,水生根茎类,0.351,10.0,销售,否,5.14,9.61
2022-08-20,102900011001691,菱角,水生根茎类,0.09,10.0,销售,否,5.14,9.61
2022-08-20,102900011001691,菱角,水生根茎类,0.422,10.0,销售,否,5.14,9.61
2022-08-21,102900011001691,菱角,水生根茎类,0.311,10.0,销售,否,5.14,9.61
2022-08-22,102900011001691,菱角,水生根茎类,0.512,10.0,销售,否,5.09,9.61
2022-08-23,102900011001691,菱角,水生根茎类,0.612,10.0,销售,否,5.0,9.61
2022-08-24,102900011001691,菱角,水生根茎类,0.663,10.0,销售,否,5.13,9.61
2022-08-24,102900011001691,菱角,水生根茎类,0.241,10.0,销售,否,5.13,9.61
2022-08-24,102900011001691,菱角,水生根茎类,0.131,10.0,销售,否,5.13,9.61
2022-08-24,102900011001691,菱角,水生根茎类,0.412,10.0,销售,否,5.13,9.61
2022-08-25,102900011001691,菱角,水生根茎类,0.341,10.0,销售,否,5.15,9.61
2022-08-27,102900011001691,菱角,水生根茎类,0.592,10.0,销售,否,5.2,9.61
2022-08-27,102900011001691,菱角,水生根茎类,0.793,10.0,销售,否,5.2,9.61
2023-05-18,102900011001691,菱角,水生根茎类,0.525,23.6,销售,否,17.42,9.61
2023-05-18,102900011001691,菱角,水生根茎类,0.53,23.6,销售,否,17.42,9.61
2023-05-19,102900011001691,菱角,水生根茎类,1.17,23.6,销售,否,17.43,9.61
2023-05-20,102900011001691,菱角,水生根茎类,0.177,23.2,销售,否,17.42,9.61
2023-05-20,102900011001691,菱角,水生根茎类,0.311,23.2,销售,否,17.42,9.61
2023-05-21,102900011001691,菱角,水生根茎类,0.289,23.2,销售,否,17.44,9.61
