日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-10-15,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.653,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,1.231,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,1.131,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.53,5.35
2020-10-15,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.628,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.628,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.603,4.0,销售,否,2.53,5.35
2020-10-16,102900005115854,萝卜叶,花叶类,0.653,4.0,销售,否,2.53,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,1.181,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.628,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,1.08,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.653,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.528,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.528,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,1.156,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.653,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.57,5.35
2020-10-17,102900005115854,萝卜叶,花叶类,0.578,4.0,销售,否,2.57,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.427,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.477,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.503,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.477,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.477,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.477,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.477,4.0,销售,否,2.55,5.35
2020-10-18,102900005115854,萝卜叶,花叶类,0.452,4.0,销售,否,2.55,5.35
