日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-08-16,102900011007495,蒲公英,花叶类,0.056,16.0,销售,否,3.93,15.92
2022-02-26,102900011007495,蒲公英,花叶类,0.236,49.6,销售,否,35.1,15.92
2022-02-26,102900011007495,蒲公英,花叶类,0.151,49.6,销售,否,35.1,15.92
2022-02-26,102900011007495,蒲公英,花叶类,0.143,49.6,销售,否,35.1,15.92
2022-02-26,102900011007495,蒲公英,花叶类,0.123,49.6,销售,否,35.1,15.92
2022-02-28,102900011007495,蒲公英,花叶类,0.129,49.6,销售,否,35.12,15.92
2022-03-18,102900011007495,蒲公英,花叶类,0.103,49.6,销售,否,30.0,15.92
2022-03-19,102900011007495,蒲公英,花叶类,0.101,49.6,销售,否,30.0,15.92
2022-03-20,102900011007495,蒲公英,花叶类,0.131,39.6,销售,否,30.0,15.92
2022-03-27,102900011007495,蒲公英,花叶类,0.111,31.6,销售,否,16.22,15.92
2022-04-02,102900011007495,蒲公英,花叶类,0.095,33.6,销售,否,16.21,15.92
2022-04-06,102900011007495,蒲公英,花叶类,0.003,33.6,销售,否,16.67,15.92
2022-04-06,102900011007495,蒲公英,花叶类,0.003,33.6,销售,否,16.67,15.92
2022-04-12,102900011007495,蒲公英,花叶类,0.176,29.6,销售,否,16.7,15.92
2022-04-12,102900011007495,蒲公英,花叶类,0.169,29.6,销售,否,16.7,15.92
2022-04-14,102900011007495,蒲公英,花叶类,0.145,29.6,销售,否,16.34,15.92
2022-05-02,102900011007495,蒲公英,花叶类,0.136,19.8,销售,否,12.14,15.92
2022-05-02,102900011007495,蒲公英,花叶类,0.141,19.8,销售,否,12.14,15.92
2022-05-02,102900011007495,蒲公英,花叶类,0.116,19.8,销售,否,12.14,15.92
2023-02-20,102900011007495,蒲公英,花叶类,0.164,39.6,销售,否,24.02,15.92
2023-02-23,102900011007495,蒲公英,花叶类,0.174,31.6,销售,否,20.17,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.177,19.8,销售,否,10.11,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.157,19.8,销售,否,10.11,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.157,19.8,销售,否,10.11,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.157,11.9,销售,是,10.11,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.126,11.9,销售,是,10.11,15.92
2023-03-11,102900011007495,蒲公英,花叶类,0.162,11.9,销售,是,10.11,15.92
2023-03-14,102900011007495,蒲公英,花叶类,0.172,19.8,销售,否,10.12,15.92
2023-03-25,102900011007495,蒲公英,花叶类,0.145,18.0,销售,否,9.09,15.92
2023-03-25,102900011007495,蒲公英,花叶类,0.195,18.0,销售,否,9.09,15.92
2023-04-08,102900011007495,蒲公英,花叶类,0.178,18.0,销售,否,10.06,15.92
