日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-28,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-03-28,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-03-28,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-03-31,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-03-31,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-02,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-02,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-02,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.0,销售,是,2.32,9.43
2022-04-02,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-03,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2022-04-03,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2022-04-03,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2022-04-03,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2022-04-05,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-05,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-05,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-05,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-05,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-06,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-06,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-06,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-06,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.7,销售,是,2.32,9.43
2022-04-07,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-07,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-07,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-08,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-08,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-08,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.0,销售,是,2.32,9.43
2022-04-09,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-09,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-10,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,2.32,9.43
2022-04-11,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.3,销售,是,2.33,9.43
2022-04-11,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.3,销售,是,2.33,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.56,9.43
2022-09-16,102900011033241,蔡甸藜蒿(份),花叶类,1.0,2.3,销售,是,4.56,9.43
2022-09-17,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.46,9.43
2022-09-17,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.46,9.43
2022-09-17,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.46,9.43
2022-09-17,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.46,9.43
2022-09-17,102900011033241,蔡甸藜蒿(份),花叶类,1.0,3.9,销售,否,4.46,9.43
