日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.288,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.388,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.332,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.238,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.269,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.3,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.25,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.257,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.532,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.244,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.432,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.3,16.0,销售,否,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.451,12.0,销售,是,10.21,0.47
2020-09-13,102900005115885,蔡甸藜蒿,花叶类,0.417,12.0,销售,是,10.21,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.363,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.35,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.626,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.557,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.344,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.319,16.0,销售,否,10.23,0.47
2020-10-17,102900005115885,蔡甸藜蒿,花叶类,0.219,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.332,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.3,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.238,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.338,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.388,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.332,16.0,销售,否,10.23,0.47
2020-10-18,102900005115885,蔡甸藜蒿,花叶类,0.332,16.0,销售,否,10.23,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.294,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.325,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.307,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.344,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.307,16.0,销售,否,10.18,0.47
2020-10-19,102900005115885,蔡甸藜蒿,花叶类,0.338,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.232,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.3,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.269,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.319,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.319,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.263,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.225,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.288,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.282,16.0,销售,否,10.18,0.47
2020-10-20,102900005115885,蔡甸藜蒿,花叶类,0.344,16.0,销售,否,10.18,0.47
2020-10-22,102900005115885,蔡甸藜蒿,花叶类,0.319,16.0,销售,否,10.23,0.47
2020-10-22,102900005115885,蔡甸藜蒿,花叶类,0.344,16.0,销售,否,10.23,0.47
2020-10-22,102900005115885,蔡甸藜蒿,花叶类,0.62,16.0,销售,否,10.23,0.47
2020-10-22,102900005115885,蔡甸藜蒿,花叶类,0.244,16.0,销售,否,10.23,0.47
2020-10-22,102900005115885,蔡甸藜蒿,花叶类,0.526,16.0,销售,否,10.23,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.325,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.632,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.275,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.688,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.532,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.332,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.864,16.0,销售,否,10.25,0.47
2020-10-23,102900005115885,蔡甸藜蒿,花叶类,0.244,16.0,销售,否,10.25,0.47
2020-10-24,102900005115885,蔡甸藜蒿,花叶类,0.519,16.0,销售,否,10.23,0.47
2020-10-24,102900005115885,蔡甸藜蒿,花叶类,0.275,16.0,销售,否,10.23,0.47
2020-10-24,102900005115885,蔡甸藜蒿,花叶类,0.269,16.0,销售,否,10.23,0.47
2020-10-25,102900005115885,蔡甸藜蒿,花叶类,0.232,16.0,销售,否,10.22,0.47
2020-10-25,102900005115885,蔡甸藜蒿,花叶类,0.613,16.0,销售,否,10.22,0.47
2020-10-25,102900005115885,蔡甸藜蒿,花叶类,0.269,16.0,销售,否,10.22,0.47
2020-10-25,102900005115885,蔡甸藜蒿,花叶类,0.275,16.0,销售,否,10.22,0.47
2020-10-25,102900005115885,蔡甸藜蒿,花叶类,0.225,16.0,销售,否,10.22,0.47
2020-10-26,102900005115885,蔡甸藜蒿,花叶类,0.238,16.0,销售,否,10.22,0.47
2020-10-26,102900005115885,蔡甸藜蒿,花叶类,0.244,16.0,销售,否,10.22,0.47
2020-10-26,102900005115885,蔡甸藜蒿,花叶类,0.357,16.0,销售,否,10.22,0.47
2020-10-26,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,10.22,0.47
2020-10-27,102900005115885,蔡甸藜蒿,花叶类,0.62,16.0,销售,否,9.11,0.47
2020-10-27,102900005115885,蔡甸藜蒿,花叶类,0.257,16.0,销售,否,9.11,0.47
2020-10-27,102900005115885,蔡甸藜蒿,花叶类,0.307,16.0,销售,否,9.11,0.47
2020-10-27,102900005115885,蔡甸藜蒿,花叶类,0.313,16.0,销售,否,9.11,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.816,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.451,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.451,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.372,14.0,销售,否,9.0,0.47
2020-10-28,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,9.0,0.47
2020-10-29,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,9.07,0.47
2020-10-29,102900005115885,蔡甸藜蒿,花叶类,0.408,14.0,销售,否,9.07,0.47
2020-10-29,102900005115885,蔡甸藜蒿,花叶类,0.379,14.0,销售,否,9.07,0.47
2020-10-29,102900005115885,蔡甸藜蒿,花叶类,0.365,14.0,销售,否,9.07,0.47
2020-10-29,102900005115885,蔡甸藜蒿,花叶类,0.737,14.0,销售,否,9.07,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,9.2,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.379,14.0,销售,否,9.2,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.265,14.0,销售,否,9.2,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,9.2,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.451,14.0,销售,否,9.2,0.47
2020-10-30,102900005115885,蔡甸藜蒿,花叶类,0.329,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.351,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.758,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.315,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.343,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.744,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.365,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.365,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.415,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.265,14.0,销售,否,9.2,0.47
2020-10-31,102900005115885,蔡甸藜蒿,花叶类,0.258,14.0,销售,否,9.2,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.379,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.351,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.329,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.615,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.329,14.0,销售,否,8.36,0.47
2020-11-01,102900005115885,蔡甸藜蒿,花叶类,0.386,14.0,销售,否,8.36,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.329,14.0,销售,否,8.25,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.265,14.0,销售,否,8.25,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.386,14.0,销售,否,8.25,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.25,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.579,14.0,销售,否,8.25,0.47
2020-11-06,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.279,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.286,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.651,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.637,14.0,销售,否,8.25,0.47
2020-11-07,102900005115885,蔡甸藜蒿,花叶类,0.258,14.0,销售,否,8.25,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.272,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.565,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.658,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.23,0.47
2020-11-08,102900005115885,蔡甸藜蒿,花叶类,0.293,14.0,销售,否,8.23,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.2,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,8.2,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.293,14.0,销售,否,8.2,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.2,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.336,14.0,销售,否,8.2,0.47
2020-11-09,102900005115885,蔡甸藜蒿,花叶类,0.422,14.0,销售,否,8.2,0.47
2020-11-10,102900005115885,蔡甸藜蒿,花叶类,0.723,14.0,销售,否,8.2,0.47
2020-11-10,102900005115885,蔡甸藜蒿,花叶类,0.279,14.0,销售,否,8.2,0.47
2020-11-11,102900005115885,蔡甸藜蒿,花叶类,0.315,14.0,销售,否,8.2,0.47
2020-11-11,102900005115885,蔡甸藜蒿,花叶类,0.272,14.0,销售,否,8.2,0.47
2020-11-11,102900005115885,蔡甸藜蒿,花叶类,0.279,14.0,销售,否,8.2,0.47
2020-11-11,102900005115885,蔡甸藜蒿,花叶类,0.372,14.0,销售,否,8.2,0.47
2020-11-12,102900005115885,蔡甸藜蒿,花叶类,0.3,14.0,销售,否,8.28,0.47
2020-11-12,102900005115885,蔡甸藜蒿,花叶类,0.343,14.0,销售,否,8.28,0.47
2020-11-12,102900005115885,蔡甸藜蒿,花叶类,0.379,14.0,销售,否,8.28,0.47
2020-11-12,102900005115885,蔡甸藜蒿,花叶类,0.3,14.0,销售,否,8.28,0.47
2020-11-12,102900005115885,蔡甸藜蒿,花叶类,0.322,14.0,销售,否,8.28,0.47
2020-11-13,102900005115885,蔡甸藜蒿,花叶类,0.393,14.0,销售,否,8.32,0.47
2020-11-13,102900005115885,蔡甸藜蒿,花叶类,0.315,14.0,销售,否,8.32,0.47
2020-11-13,102900005115885,蔡甸藜蒿,花叶类,0.408,14.0,销售,否,8.32,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.293,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.3,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.2,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.279,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.293,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.336,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.293,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.279,14.0,销售,否,8.15,0.47
2020-11-14,102900005115885,蔡甸藜蒿,花叶类,0.315,14.0,销售,否,8.15,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.329,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.308,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.572,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.215,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.544,14.0,销售,否,8.14,0.47
2020-11-15,102900005115885,蔡甸藜蒿,花叶类,0.737,14.0,销售,否,8.14,0.47
2020-11-16,102900005115885,蔡甸藜蒿,花叶类,0.587,14.0,销售,否,8.15,0.47
2020-11-16,102900005115885,蔡甸藜蒿,花叶类,0.358,14.0,销售,否,8.15,0.47
2020-11-16,102900005115885,蔡甸藜蒿,花叶类,0.336,14.0,销售,否,8.15,0.47
