日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-03-31,102900011007471,薄荷叶,花叶类,0.106,19.8,销售,否,9.11,13.28
2021-03-31,102900011007471,薄荷叶,花叶类,0.116,19.8,销售,否,9.11,13.28
2021-03-31,102900011007471,薄荷叶,花叶类,0.116,19.8,销售,否,9.11,13.28
2021-03-31,102900011007471,薄荷叶,花叶类,0.091,19.8,销售,否,9.11,13.28
2021-04-02,102900011007471,薄荷叶,花叶类,0.081,19.8,销售,否,9.11,13.28
2021-04-02,102900011007471,薄荷叶,花叶类,0.086,19.8,销售,否,9.11,13.28
2021-04-02,102900011007471,薄荷叶,花叶类,0.066,19.8,销售,否,9.11,13.28
2021-04-02,102900011007471,薄荷叶,花叶类,0.071,19.8,销售,否,9.11,13.28
2021-04-03,102900011007471,薄荷叶,花叶类,0.081,19.8,销售,否,9.13,13.28
2021-04-03,102900011007471,薄荷叶,花叶类,0.056,19.8,销售,否,9.13,13.28
2021-04-03,102900011007471,薄荷叶,花叶类,0.076,19.8,销售,否,9.13,13.28
2021-04-03,102900011007471,薄荷叶,花叶类,0.071,19.8,销售,否,9.13,13.28
2021-04-03,102900011007471,薄荷叶,花叶类,0.071,19.8,销售,否,9.13,13.28
2021-04-05,102900011007471,薄荷叶,花叶类,0.116,19.8,销售,否,9.17,13.28
2021-04-05,102900011007471,薄荷叶,花叶类,0.096,19.8,销售,否,9.17,13.28
2021-04-05,102900011007471,薄荷叶,花叶类,0.091,19.8,销售,否,9.17,13.28
2021-04-05,102900011007471,薄荷叶,花叶类,0.106,19.8,销售,否,9.17,13.28
2021-04-06,102900011007471,薄荷叶,花叶类,0.116,19.8,销售,否,9.14,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.086,19.8,销售,否,9.16,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.086,19.8,销售,否,9.16,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.086,19.8,销售,否,9.16,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.086,19.8,销售,否,9.16,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.066,19.8,销售,否,9.16,13.28
2021-04-08,102900011007471,薄荷叶,花叶类,0.066,19.8,销售,否,9.16,13.28
2021-04-09,102900011007471,薄荷叶,花叶类,0.096,19.8,销售,否,9.16,13.28
2021-04-14,102900011007471,薄荷叶,花叶类,0.116,19.8,销售,否,9.16,13.28
2021-04-16,102900011007471,薄荷叶,花叶类,0.091,19.8,销售,否,9.2,13.28
2021-04-16,102900011007471,薄荷叶,花叶类,0.096,19.8,销售,否,9.2,13.28
2021-04-18,102900011007471,薄荷叶,花叶类,0.131,19.8,销售,否,9.95,13.28
2021-04-18,102900011007471,薄荷叶,花叶类,0.126,19.8,销售,否,9.95,13.28
2021-04-18,102900011007471,薄荷叶,花叶类,0.167,19.8,销售,否,9.95,13.28
2022-12-17,102900011007471,薄荷叶,花叶类,0.163,16.0,销售,否,10.29,13.28
2022-12-17,102900011007471,薄荷叶,花叶类,0.157,16.0,销售,否,10.29,13.28
2022-12-17,102900011007471,薄荷叶,花叶类,0.113,16.0,销售,否,10.29,13.28
2022-12-17,102900011007471,薄荷叶,花叶类,0.157,16.0,销售,否,10.29,13.28
2022-12-18,102900011007471,薄荷叶,花叶类,0.119,16.0,销售,否,10.25,13.28
2023-02-17,102900011007471,薄荷叶,花叶类,0.12,21.6,销售,否,16.25,13.28
2023-02-18,102900011007471,薄荷叶,花叶类,0.102,21.6,销售,否,16.24,13.28
2023-02-18,102900011007471,薄荷叶,花叶类,0.102,21.6,销售,否,16.24,13.28
2023-02-18,102900011007471,薄荷叶,花叶类,0.111,21.6,销售,否,16.24,13.28
2023-02-18,102900011007471,薄荷叶,花叶类,0.134,21.6,销售,否,16.24,13.28
2023-02-21,102900011007471,薄荷叶,花叶类,0.107,10.8,销售,是,16.26,13.28
2023-02-25,102900011007471,薄荷叶,花叶类,0.097,21.6,销售,否,16.19,13.28
2023-02-26,102900011007471,薄荷叶,花叶类,0.12,21.6,销售,否,16.16,13.28
2023-02-26,102900011007471,薄荷叶,花叶类,0.083,21.6,销售,否,16.16,13.28
2023-02-26,102900011007471,薄荷叶,花叶类,0.12,21.6,销售,否,16.16,13.28
2023-02-28,102900011007471,薄荷叶,花叶类,0.074,21.6,销售,否,16.22,13.28
2023-03-07,102900011007471,薄荷叶,花叶类,0.111,21.6,销售,否,10.18,13.28
2023-03-09,102900011007471,薄荷叶,花叶类,0.167,21.6,销售,否,10.18,13.28
2023-03-12,102900011007471,薄荷叶,花叶类,0.13,21.6,销售,否,10.15,13.28
2023-03-13,102900011007471,薄荷叶,花叶类,0.148,21.6,销售,否,10.2,13.28
2023-04-16,102900011007471,薄荷叶,花叶类,0.143,14.0,销售,否,8.32,13.28
2023-04-17,102900011007471,薄荷叶,花叶类,0.1,14.0,销售,否,8.3,13.28
2023-04-18,102900011007471,薄荷叶,花叶类,0.107,8.4,销售,是,8.31,13.28
2023-04-18,102900011007471,薄荷叶,花叶类,0.1,8.4,销售,是,8.31,13.28
2023-04-19,102900011007471,薄荷叶,花叶类,0.122,8.4,销售,是,8.28,13.28
2023-04-20,102900011007471,薄荷叶,花叶类,0.1,14.0,销售,否,8.31,13.28
2023-04-20,102900011007471,薄荷叶,花叶类,0.072,14.0,销售,是,8.31,13.28
2023-04-21,102900011007471,薄荷叶,花叶类,0.122,8.4,销售,是,8.28,13.28
2023-05-15,102900011007471,薄荷叶,花叶类,0.107,14.0,销售,否,10.2,13.28
2023-05-15,102900011007471,薄荷叶,花叶类,0.115,14.0,销售,否,10.2,13.28
2023-05-15,102900011007471,薄荷叶,花叶类,0.136,14.0,销售,是,10.2,13.28
2023-05-16,102900011007471,薄荷叶,花叶类,0.136,8.4,销售,是,10.2,13.28
2023-05-16,102900011007471,薄荷叶,花叶类,0.115,14.0,销售,否,10.2,13.28
2023-06-10,102900011007471,薄荷叶,花叶类,0.157,16.0,销售,否,11.18,13.28
2023-06-10,102900011007471,薄荷叶,花叶类,0.138,16.0,销售,否,11.18,13.28
2023-06-10,102900011007471,薄荷叶,花叶类,0.163,16.0,销售,否,11.18,13.28
2023-06-10,102900011007471,薄荷叶,花叶类,0.144,16.0,销售,否,11.18,13.28
2023-06-10,102900011007471,薄荷叶,花叶类,0.144,9.6,销售,是,11.18,13.28
