日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-18,102900051006229,藕尖,水生根茎类,0.96,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.707,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.505,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.758,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.606,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.202,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.833,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.53,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.278,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.455,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.455,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,1.187,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.505,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.758,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.227,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.379,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.354,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.556,4.0,销售,否,2.88,0.0
2021-12-18,102900051006229,藕尖,水生根茎类,0.177,4.0,销售,否,2.88,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.48,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.202,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.909,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.303,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.606,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,1.035,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.354,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.379,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.404,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.732,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,1.212,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.556,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.53,4.0,销售,否,3.0,0.0
2022-01-10,102900051006229,藕尖,水生根茎类,0.152,4.0,销售,否,3.0,0.0
2022-01-11,102900051006229,藕尖,水生根茎类,0.328,4.0,销售,否,2.99,0.0
