日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-19,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.26,9.43
2022-01-19,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.26,9.43
2022-01-20,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.25,9.43
2022-01-20,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.25,9.43
2022-01-20,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.25,9.43
2022-01-20,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.25,9.43
2022-01-20,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.25,9.43
2022-01-21,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.32,9.43
2022-01-21,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.32,9.43
2022-01-21,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.32,9.43
2022-01-21,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.32,9.43
2022-01-25,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.44,9.43
2022-01-25,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.44,9.43
2022-01-25,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.44,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-26,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-01-27,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.84,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-01-28,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.65,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-04,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.64,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-05,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.79,9.43
2022-02-06,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-02-06,102900011031926,虫草花(份),食用菌,1.0,5.9,销售,否,2.66,9.43
2022-02-07,102900011031926,虫草花(份),食用菌,1.0,4.9,销售,否,2.65,9.43
2022-02-07,102900011031926,虫草花(份),食用菌,1.0,4.9,销售,否,2.65,9.43
2022-02-07,102900011031926,虫草花(份),食用菌,1.0,4.9,销售,否,2.65,9.43
2022-02-07,102900011031926,虫草花(份),食用菌,1.0,4.9,销售,否,2.65,9.43
