日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-10-16,102900011018095,虫草花(袋),食用菌,1.0,7.8,销售,否,4.14,11.13
2020-10-16,102900011018095,虫草花(袋),食用菌,1.0,7.8,销售,否,4.14,11.13
2020-10-16,102900011018095,虫草花(袋),食用菌,1.0,7.8,销售,否,4.14,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-17,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-18,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-18,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-18,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-19,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.15,11.13
2020-10-20,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.16,11.13
2020-10-20,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.16,11.13
2020-10-21,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-21,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-21,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.17,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-22,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.19,11.13
2020-10-23,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.24,11.13
2020-10-23,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.24,11.13
2020-10-23,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.24,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-24,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.21,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
2020-10-25,102900011018095,虫草花(袋),食用菌,1.0,6.8,销售,否,4.23,11.13
