日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-31,102900051009336,虫草花,食用菌,0.198,29.8,销售,否,16.87,11.68
2020-08-31,102900051009336,虫草花,食用菌,0.201,29.8,销售,否,16.87,11.68
2020-09-23,102900051009336,虫草花,食用菌,0.097,29.8,销售,否,16.42,11.68
2020-09-23,102900051009336,虫草花,食用菌,0.158,29.8,销售,否,16.42,11.68
2020-09-23,102900051009336,虫草花,食用菌,0.164,29.8,销售,否,16.42,11.68
2020-09-23,102900051009336,虫草花,食用菌,0.181,29.8,销售,否,16.42,11.68
2020-09-23,102900051009336,虫草花,食用菌,0.101,29.8,销售,否,16.42,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.104,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.087,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.215,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.131,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.047,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.044,29.8,销售,否,16.27,11.68
2020-09-24,102900051009336,虫草花,食用菌,0.077,29.8,销售,否,16.27,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.151,29.8,销售,否,16.34,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.077,29.8,销售,否,16.34,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.144,29.8,销售,否,16.34,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.091,29.8,销售,否,16.34,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.044,29.8,销售,否,16.34,11.68
2020-09-25,102900051009336,虫草花,食用菌,0.044,29.8,销售,否,16.34,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.158,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.225,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.081,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.06,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.037,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.054,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.077,29.8,销售,否,16.39,11.68
2020-09-26,102900051009336,虫草花,食用菌,0.191,29.8,销售,否,16.39,11.68
2020-09-27,102900051009336,虫草花,食用菌,0.191,29.8,销售,否,16.5,11.68
2020-09-27,102900051009336,虫草花,食用菌,0.081,29.8,销售,否,16.5,11.68
2020-09-27,102900051009336,虫草花,食用菌,0.024,29.8,销售,否,16.5,11.68
2020-09-27,102900051009336,虫草花,食用菌,0.02,29.8,销售,否,16.5,11.68
2020-09-28,102900051009336,虫草花,食用菌,0.138,29.8,销售,否,16.53,11.68
2020-09-28,102900051009336,虫草花,食用菌,0.024,29.8,销售,否,16.53,11.68
2020-09-28,102900051009336,虫草花,食用菌,0.097,29.8,销售,否,16.53,11.68
2020-09-29,102900051009336,虫草花,食用菌,0.117,29.8,销售,否,16.67,11.68
2020-09-29,102900051009336,虫草花,食用菌,0.222,29.8,销售,否,16.67,11.68
