日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-18,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.39,9.43
2022-02-18,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.39,9.43
2022-02-19,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.39,9.43
2022-02-22,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.86,9.43
2022-02-22,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.86,9.43
2022-02-22,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.86,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-23,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.36,9.43
2022-02-24,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.46,9.43
2022-02-26,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.46,9.43
2022-02-26,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.46,9.43
2022-02-26,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.46,9.43
2022-02-26,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.46,9.43
2022-03-01,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.46,9.43
2022-03-02,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.46,9.43
2022-03-02,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.46,9.43
2022-03-02,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.46,9.43
2022-03-03,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.29,9.43
2022-03-03,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.29,9.43
2022-03-03,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.29,9.43
2022-03-03,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.29,9.43
2022-03-04,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.99,9.43
2022-03-04,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.99,9.43
2022-03-04,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.99,9.43
2022-03-05,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.72,9.43
2022-03-05,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.72,9.43
2022-03-05,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,3.72,9.43
2022-03-05,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.72,9.43
2022-03-05,102900011032251,螺丝椒(份),辣椒类,1.0,2.7,销售,是,3.72,9.43
2022-03-06,102900011032251,螺丝椒(份),辣椒类,1.0,3.9,销售,否,2.38,9.43
2022-03-07,102900011032251,螺丝椒(份),辣椒类,1.0,7.5,销售,否,4.48,9.43
2022-03-07,102900011032251,螺丝椒(份),辣椒类,1.0,7.5,销售,否,4.48,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.49,9.43
2022-03-09,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.02,9.43
2022-03-10,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.27,9.43
2022-03-10,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.27,9.43
2022-03-10,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.27,9.43
2022-03-10,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,5.27,9.43
2022-03-11,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,6.02,9.43
2022-03-11,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,6.02,9.43
2022-03-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.8,销售,是,6.01,9.43
2022-03-13,102900011032251,螺丝椒(份),辣椒类,1.0,8.5,销售,否,18.39,9.43
2022-03-14,102900011032251,螺丝椒(份),辣椒类,1.0,8.5,销售,否,12.2,9.43
2022-03-14,102900011032251,螺丝椒(份),辣椒类,1.0,8.5,销售,否,12.2,9.43
2022-03-15,102900011032251,螺丝椒(份),辣椒类,1.0,8.5,销售,否,6.02,9.43
2022-03-15,102900011032251,螺丝椒(份),辣椒类,1.0,6.0,销售,是,6.02,9.43
2022-03-15,102900011032251,螺丝椒(份),辣椒类,1.0,6.0,销售,是,6.02,9.43
2022-03-15,102900011032251,螺丝椒(份),辣椒类,1.0,6.0,销售,是,6.02,9.43
2022-03-16,102900011032251,螺丝椒(份),辣椒类,1.0,6.0,销售,是,6.01,9.43
2022-03-19,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,6.02,9.43
2022-03-19,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,6.02,9.43
2022-03-19,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,6.02,9.43
2022-03-20,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,6.02,9.43
2022-03-20,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,6.02,9.43
2022-03-21,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,4.2,9.43
2022-03-29,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,7.62,9.43
2022-03-30,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,7.62,9.43
2022-03-30,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,7.62,9.43
2022-04-01,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,7.62,9.43
2022-04-02,102900011032251,螺丝椒(份),辣椒类,1.0,9.9,销售,否,7.63,9.43
2022-04-03,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,7.06,9.43
2022-04-03,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,7.06,9.43
2022-04-03,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,7.06,9.43
2022-04-03,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,7.06,9.43
2022-04-03,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,7.06,9.43
2022-04-04,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.7,9.43
2022-04-04,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.7,9.43
2022-04-06,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.7,9.43
2022-04-06,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.7,9.43
2022-04-06,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.7,9.43
2022-04-07,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.43,9.43
2022-04-07,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.43,9.43
2022-04-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.79,9.43
2022-04-08,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.79,9.43
2022-04-08,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,5.79,9.43
2022-04-09,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,5.79,9.43
2022-04-09,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.79,9.43
2022-04-09,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-10,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,5.79,9.43
2022-04-11,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,5.79,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.89,9.43
2022-04-12,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.89,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.26,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.26,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.26,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,3.26,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.26,9.43
2022-04-13,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,3.26,9.43
2022-04-14,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.63,9.43
2022-04-14,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.63,9.43
2022-04-14,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.63,9.43
2022-04-14,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.63,9.43
2022-04-14,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.63,9.43
2022-04-15,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-15,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-15,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-15,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-15,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,7.9,销售,否,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,4.62,9.43
2022-04-16,102900011032251,螺丝椒(份),辣椒类,1.0,5.5,销售,是,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-17,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.62,9.43
2022-04-18,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.44,9.43
2022-04-18,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.44,9.43
2022-04-18,102900011032251,螺丝椒(份),辣椒类,1.0,6.9,销售,否,4.44,9.43
2022-04-18,102900011032251,螺丝椒(份),辣椒类,1.0,4.8,销售,是,4.44,9.43
