日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-02,102900011000328,螺丝椒,辣椒类,0.381,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.13,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.351,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.291,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.22,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.361,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.241,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.13,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.271,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.371,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.411,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.321,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.19,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.16,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.231,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.371,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.341,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.15,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.231,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.16,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.1,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.341,10.0,销售,否,7.1,10.18
2020-07-02,102900011000328,螺丝椒,辣椒类,0.09,10.0,销售,否,7.1,10.18
