日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-10,106956146480203,蟹味菇(2),食用菌,1.0,3.5,销售,否,1.96,16.04
2020-07-10,106956146480203,蟹味菇(2),食用菌,1.0,3.5,销售,否,1.96,16.04
2020-07-10,106956146480203,蟹味菇(2),食用菌,1.0,3.5,销售,否,1.96,16.04
2020-07-10,106956146480203,蟹味菇(2),食用菌,1.0,3.5,销售,否,1.96,16.04
2020-12-08,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-08,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-08,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-08,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-08,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-09,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-09,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-09,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.5,16.04
2020-12-10,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.48,16.04
2020-12-12,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.48,16.04
2020-12-12,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.48,16.04
2020-12-12,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.48,16.04
2020-12-12,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.48,16.04
2020-12-13,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.7,16.04
2020-12-13,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.7,16.04
2020-12-14,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.71,16.04
2020-12-14,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.71,16.04
2020-12-15,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.73,16.04
2020-12-15,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.73,16.04
2020-12-15,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.73,16.04
2020-12-16,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.76,16.04
2020-12-16,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.76,16.04
2020-12-16,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.76,16.04
2020-12-16,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.76,16.04
2020-12-17,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.74,16.04
2020-12-19,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.74,16.04
2020-12-19,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.74,16.04
2020-12-23,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.68,16.04
2020-12-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.4,16.04
2020-12-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.4,16.04
2020-12-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.4,16.04
2020-12-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.4,16.04
2020-12-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.4,16.04
2020-12-27,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2020-12-27,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2020-12-27,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2020-12-30,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2020-12-30,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2020-12-30,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.31,16.04
2021-01-19,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-20,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-20,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-24,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-24,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-24,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-25,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-26,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-28,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-28,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-28,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-28,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-01-30,106956146480203,蟹味菇(2),食用菌,1.0,4.9,销售,否,2.1,16.04
2021-11-21,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-28,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-28,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-29,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-29,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-29,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-29,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
2022-01-29,106956146480203,蟹味菇(2),食用菌,1.0,2.8,销售,否,1.0,16.04
