日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-13,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.7,0.0
2022-01-14,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.7,0.0
2022-01-15,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-17,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-20,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-20,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-20,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-01-21,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-01-21,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-01-22,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-22,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-22,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-22,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-22,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-24,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-24,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.0,销售,是,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.0,销售,是,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-01-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.0,销售,是,1.72,0.0
2022-02-01,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-04,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-04,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-08,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-09,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-10,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-10,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-10,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-11,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-12,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-13,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-13,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-13,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-13,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.74,0.0
2022-02-14,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-14,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-15,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-15,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-16,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.67,0.0
2022-02-17,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.7,0.0
2022-02-17,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.7,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-18,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-19,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.73,0.0
2022-02-23,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.77,0.0
2022-02-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-25,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.72,0.0
2022-02-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.5,0.0
2022-02-26,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.5,0.0
2022-02-27,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.51,0.0
2022-02-27,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.51,0.0
2022-02-27,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.51,0.0
2022-03-01,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.95,0.0
2022-03-01,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.95,0.0
2022-03-01,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.95,0.0
2022-03-01,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,1.95,0.0
2022-03-02,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,2.1,0.0
2022-03-02,106957634300058,蟹味菇(盒),食用菌,1.0,2.9,销售,否,2.1,0.0
