单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900005115250,西峡花菇(1),食用菌,12:02:12.139,0.195,23.6,销售,否,2020-09-18,14.0
102900005115250,西峡花菇(1),食用菌,10:31:14.221,0.428,27.6,销售,否,2020-09-27,17.1
102900005115250,西峡花菇(1),食用菌,13:26:20.686,0.239,27.6,销售,否,2020-09-27,17.1
102900005115250,西峡花菇(1),食用菌,17:09:02.527,0.199,27.6,销售,否,2020-09-27,17.1
102900005115250,西峡花菇(1),食用菌,18:09:18.951,0.228,27.6,销售,否,2020-09-27,17.1
102900005115250,西峡花菇(1),食用菌,20:04:45.405,0.214,27.6,销售,否,2020-09-27,17.1
102900005115250,西峡花菇(1),食用菌,17:15:40.238,0.163,27.6,销售,否,2020-09-28,17.1
102900005115250,西峡花菇(1),食用菌,09:19:23.000,0.131,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,09:38:16.110,0.192,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,09:41:52.498,0.263,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,09:48:15.983,0.222,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,09:54:01.669,0.152,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:02:11.780,0.212,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:02:29.514,0.222,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:27:27.105,0.227,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:28:17.326,0.53,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:29:21.006,0.152,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:29:45.608,0.131,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:30:27.630,0.495,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:31:12.373,0.465,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:32:28.389,0.278,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:32:28.817,0.298,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:37:53.205,0.232,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:37:58.467,0.182,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:38:56.817,0.354,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:40:57.596,0.338,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:44:42.639,0.237,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:45:42.905,0.636,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:51:09.057,0.116,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:51:44.529,0.222,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:56:03.590,0.116,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:56:17.889,0.152,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:57:23.654,0.212,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:57:52.469,0.111,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,10:58:15.466,0.253,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:00:38.936,0.444,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:01:21.170,0.535,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:03:36.519,0.303,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:07:45.201,0.495,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:09:02.373,0.389,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:11:51.482,0.131,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:12:54.519,0.172,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:20:32.998,0.202,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:33:07.911,0.152,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:35:30.019,0.374,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:36:24.014,0.263,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:37:12.139,0.409,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:45:14.155,0.515,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:46:09.264,0.288,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:46:28.005,0.237,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:46:34.558,0.318,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:50:06.440,0.121,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:55:00.569,0.323,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:56:08.639,0.207,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,11:58:05.020,0.167,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:02:10.608,0.374,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:03:22.972,0.338,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:06:43.821,0.222,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:11:33.764,0.273,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:35:32.858,0.303,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:35:39.776,0.455,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:40:01.311,0.172,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:47:57.160,0.222,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,12:49:40.155,0.288,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,13:10:39.569,0.172,19.8,销售,否,2020-11-22,12.0
102900005115250,西峡花菇(1),食用菌,13:24:36.358,0.217,19.8,销售,否,2020-11-22,12.0
