日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.258,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.212,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.192,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.207,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.232,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.232,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.227,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.126,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.207,19.8,销售,否,12.6,9.43
2022-04-16,102900011033968,西峡花菇(2),食用菌,0.212,19.8,销售,否,12.6,9.43
2022-04-17,102900011033968,西峡花菇(2),食用菌,0.217,19.8,销售,否,12.63,9.43
2022-04-19,102900011033968,西峡花菇(2),食用菌,0.227,19.8,销售,否,12.6,9.43
2022-04-19,102900011033968,西峡花菇(2),食用菌,0.217,19.8,销售,否,12.6,9.43
2022-04-19,102900011033968,西峡花菇(2),食用菌,0.253,19.8,销售,否,12.6,9.43
2022-04-19,102900011033968,西峡花菇(2),食用菌,0.237,19.8,销售,否,12.6,9.43
2022-04-19,102900011033968,西峡花菇(2),食用菌,0.192,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.182,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.217,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.197,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.192,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.212,19.8,销售,否,12.6,9.43
2022-04-20,102900011033968,西峡花菇(2),食用菌,0.207,19.8,销售,否,12.6,9.43
2022-04-21,102900011033968,西峡花菇(2),食用菌,0.227,19.8,销售,否,12.6,9.43
2022-04-22,102900011033968,西峡花菇(2),食用菌,0.192,19.8,销售,否,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.212,19.8,销售,否,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.258,19.8,销售,否,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.202,19.8,销售,否,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.177,19.8,销售,否,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.207,13.9,销售,是,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.222,13.9,销售,是,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.212,13.9,销售,是,12.6,9.43
2022-04-23,102900011033968,西峡花菇(2),食用菌,0.187,13.9,销售,是,12.6,9.43
2022-04-26,102900011033968,西峡花菇(2),食用菌,0.217,19.8,销售,否,12.58,9.43
2022-04-27,102900011033968,西峡花菇(2),食用菌,0.222,19.8,销售,否,12.61,9.43
2022-04-29,102900011033968,西峡花菇(2),食用菌,0.217,19.8,销售,否,12.61,9.43
2022-04-29,102900011033968,西峡花菇(2),食用菌,0.222,19.8,销售,否,12.61,9.43
2022-04-29,102900011033968,西峡花菇(2),食用菌,0.177,19.8,销售,否,12.61,9.43
2022-04-29,102900011033968,西峡花菇(2),食用菌,0.232,19.8,销售,否,12.61,9.43
2022-04-29,102900011033968,西峡花菇(2),食用菌,0.192,19.8,销售,否,12.61,9.43
