日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-15,102900011032619,西峡香菇(2),食用菌,0.212,19.8,销售,否,11.18,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.253,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.227,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.242,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.217,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.212,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.232,19.8,销售,否,11.2,9.43
2022-03-16,102900011032619,西峡香菇(2),食用菌,0.172,19.8,销售,否,11.2,9.43
2022-03-18,102900011032619,西峡香菇(2),食用菌,0.232,9.9,销售,是,11.21,9.43
2022-03-21,102900011032619,西峡香菇(2),食用菌,0.232,19.8,销售,否,11.88,9.43
2022-03-21,102900011032619,西峡香菇(2),食用菌,0.268,19.8,销售,否,11.88,9.43
2022-03-22,102900011032619,西峡香菇(2),食用菌,0.242,19.8,销售,否,11.9,9.43
2022-03-22,102900011032619,西峡香菇(2),食用菌,0.242,19.8,销售,否,11.9,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.176,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.176,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.176,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.171,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.181,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.171,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.167,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.181,21.6,销售,否,13.66,9.43
2022-08-16,102900011032619,西峡香菇(2),食用菌,0.176,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.167,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.162,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.194,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.162,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.227,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.213,15.1,销售,是,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.222,15.1,销售,是,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.222,15.1,销售,是,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.213,15.1,销售,是,13.66,9.43
2022-08-17,102900011032619,西峡香菇(2),食用菌,0.218,15.1,销售,是,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.227,21.6,销售,否,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.185,15.1,销售,是,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.232,15.1,销售,是,13.66,9.43
2022-08-18,102900011032619,西峡香菇(2),食用菌,0.213,15.1,销售,是,13.66,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.19,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.194,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.227,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.171,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.194,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.232,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.241,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.236,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.232,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.194,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.213,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.171,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.227,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.232,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.222,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.241,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.241,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.236,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.222,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.213,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.19,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.213,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.241,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.218,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.204,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.194,21.6,销售,否,13.68,9.43
2022-08-19,102900011032619,西峡香菇(2),食用菌,0.222,21.6,销售,否,13.68,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.222,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.199,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.208,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.232,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.232,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.241,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.269,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.25,21.6,销售,否,13.64,9.43
2022-08-20,102900011032619,西峡香菇(2),食用菌,0.25,21.6,销售,否,13.64,9.43
