日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-11-21,102900005115977,豌豆尖,花叶类,0.301,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.241,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.382,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.241,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.321,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.201,5.0,销售,否,3.16,8.36
2020-11-21,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.16,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.281,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.382,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.382,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.201,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.141,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.141,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.121,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.402,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.141,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.542,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.141,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.382,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.643,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.161,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.301,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.08,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.161,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.361,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.281,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.121,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.422,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.181,5.0,销售,否,3.33,8.36
2020-11-23,102900005115977,豌豆尖,花叶类,0.281,5.0,销售,否,3.33,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.15,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.238,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.326,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.627,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.125,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.276,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.363,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.251,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.213,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.113,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.526,8.0,销售,否,5.52,8.36
2020-11-25,102900005115977,豌豆尖,花叶类,0.313,8.0,销售,否,5.52,8.36
