日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-10-04,102900011029176,辣妹子,辣椒类,0.302,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.364,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.289,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.201,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.101,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.302,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,-0.302,8.0,退货,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.302,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,-0.302,8.0,退货,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.302,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.101,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.163,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.289,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.364,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.503,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.188,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.264,8.0,销售,否,4.52,0.0
2021-10-04,102900011029176,辣妹子,辣椒类,0.113,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.276,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.251,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.214,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.251,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.377,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.44,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.402,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.138,8.0,销售,否,4.52,0.0
2021-10-05,102900011029176,辣妹子,辣椒类,0.163,8.0,销售,否,4.52,0.0
