日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-11-11,102900011018132,野生粉藕,水生根茎类,0.826,16.0,销售,否,9.76,12.69
2020-11-11,102900011018132,野生粉藕,水生根茎类,0.807,16.0,销售,否,9.76,12.69
2020-11-11,102900011018132,野生粉藕,水生根茎类,0.338,16.0,销售,否,9.76,12.69
2020-11-11,102900011018132,野生粉藕,水生根茎类,0.25,16.0,销售,否,9.76,12.69
2020-11-11,102900011018132,野生粉藕,水生根茎类,0.207,16.0,销售,否,9.76,12.69
2020-11-12,102900011018132,野生粉藕,水生根茎类,1.064,16.0,销售,否,9.76,12.69
2020-11-12,102900011018132,野生粉藕,水生根茎类,0.213,16.0,销售,否,9.76,12.69
2020-11-12,102900011018132,野生粉藕,水生根茎类,0.463,16.0,销售,否,9.76,12.69
2020-11-13,102900011018132,野生粉藕,水生根茎类,0.713,16.0,销售,否,9.76,12.69
2020-11-19,102900011018132,野生粉藕,水生根茎类,0.768,12.0,销售,否,8.42,12.69
2020-11-19,102900011018132,野生粉藕,水生根茎类,2.663,12.0,销售,否,8.42,12.69
2020-11-19,102900011018132,野生粉藕,水生根茎类,0.985,12.0,销售,否,8.42,12.69
2020-11-19,102900011018132,野生粉藕,水生根茎类,1.311,12.0,销售,否,8.42,12.69
2020-11-19,102900011018132,野生粉藕,水生根茎类,0.484,12.0,销售,否,8.42,12.69
2020-11-20,102900011018132,野生粉藕,水生根茎类,0.685,12.0,销售,否,7.0,12.69
2020-11-20,102900011018132,野生粉藕,水生根茎类,0.593,12.0,销售,否,7.0,12.69
2020-11-20,102900011018132,野生粉藕,水生根茎类,0.451,12.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,1.238,14.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,0.372,14.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,0.572,14.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,0.751,14.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,0.694,14.0,销售,否,7.0,12.69
2020-11-21,102900011018132,野生粉藕,水生根茎类,0.551,14.0,销售,否,7.0,12.69
2020-12-08,102900011018132,野生粉藕,水生根茎类,0.322,14.0,销售,否,9.76,12.69
2020-12-08,102900011018132,野生粉藕,水生根茎类,0.901,14.0,销售,否,9.76,12.69
2020-12-08,102900011018132,野生粉藕,水生根茎类,0.637,14.0,销售,否,9.76,12.69
2020-12-08,102900011018132,野生粉藕,水生根茎类,0.866,14.0,销售,否,9.76,12.69
2020-12-08,102900011018132,野生粉藕,水生根茎类,0.93,14.0,销售,否,9.76,12.69
