日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-27,102900011010891,野藕(1),水生根茎类,0.325,16.0,销售,否,10.22,7.97
2020-08-27,102900011010891,野藕(1),水生根茎类,0.701,16.0,销售,否,10.22,7.97
2020-08-27,102900011010891,野藕(1),水生根茎类,0.764,16.0,销售,否,10.22,7.97
2020-08-27,102900011010891,野藕(1),水生根茎类,0.426,16.0,销售,否,10.22,7.97
2020-08-28,102900011010891,野藕(1),水生根茎类,0.451,16.0,销售,否,10.22,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.845,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.651,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.738,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.957,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.895,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.363,16.0,销售,否,5.0,7.97
2021-04-01,102900011010891,野藕(1),水生根茎类,0.332,16.0,销售,否,5.0,7.97
2021-04-02,102900011010891,野藕(1),水生根茎类,0.507,16.0,销售,否,5.0,7.97
2021-04-02,102900011010891,野藕(1),水生根茎类,0.463,16.0,销售,否,5.0,7.97
2021-04-02,102900011010891,野藕(1),水生根茎类,0.62,16.0,销售,否,5.0,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.92,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.457,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.657,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.645,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.607,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.62,16.0,销售,否,8.15,7.97
2021-11-24,102900011010891,野藕(1),水生根茎类,0.463,16.0,销售,否,8.15,7.97
2021-11-25,102900011010891,野藕(1),水生根茎类,0.382,16.0,销售,否,8.14,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.193,14.0,销售,否,8.15,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.33,14.0,销售,否,8.15,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.509,14.0,销售,否,8.15,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.602,14.0,销售,否,8.15,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.802,14.0,销售,否,8.15,7.97
2021-11-26,102900011010891,野藕(1),水生根茎类,0.989,14.0,销售,否,8.15,7.97
2021-11-27,102900011010891,野藕(1),水生根茎类,0.981,14.0,销售,否,8.15,7.97
2021-11-27,102900011010891,野藕(1),水生根茎类,0.394,14.0,销售,否,8.15,7.97
2021-11-28,102900011010891,野藕(1),水生根茎类,0.33,14.0,销售,否,8.15,7.97
2021-12-01,102900011010891,野藕(1),水生根茎类,0.989,14.0,销售,否,8.14,7.97
2021-12-01,102900011010891,野藕(1),水生根茎类,1.161,14.0,销售,否,8.14,7.97
2021-12-02,102900011010891,野藕(1),水生根茎类,0.444,14.0,销售,否,8.15,7.97
2021-12-03,102900011010891,野藕(1),水生根茎类,0.466,14.0,销售,否,8.13,7.97
2022-09-16,102900011010891,野藕(1),水生根茎类,0.418,12.0,销售,否,8.18,7.97
2022-09-16,102900011010891,野藕(1),水生根茎类,0.544,12.0,销售,否,8.18,7.97
2022-09-16,102900011010891,野藕(1),水生根茎类,0.761,12.0,销售,否,8.18,7.97
2022-09-17,102900011010891,野藕(1),水生根茎类,0.527,12.0,销售,否,8.17,7.97
2022-09-17,102900011010891,野藕(1),水生根茎类,0.786,12.0,销售,否,8.17,7.97
2022-09-18,102900011010891,野藕(1),水生根茎类,0.727,12.0,销售,否,8.17,7.97
2022-09-19,102900011010891,野藕(1),水生根茎类,0.702,12.0,销售,否,8.18,7.97
2022-12-09,102900011010891,野藕(1),水生根茎类,0.764,9.2,销售,否,6.75,7.97
2022-12-10,102900011010891,野藕(1),水生根茎类,0.415,9.2,销售,否,6.75,7.97
2022-12-10,102900011010891,野藕(1),水生根茎类,0.622,9.2,销售,否,6.75,7.97
2022-12-10,102900011010891,野藕(1),水生根茎类,0.524,9.2,销售,否,6.75,7.97
2022-12-10,102900011010891,野藕(1),水生根茎类,0.666,9.2,销售,否,6.75,7.97
2022-12-12,102900011010891,野藕(1),水生根茎类,0.721,9.2,销售,否,6.76,7.97
2022-12-12,102900011010891,野藕(1),水生根茎类,0.448,9.2,销售,否,6.76,7.97
2022-12-13,102900011010891,野藕(1),水生根茎类,0.677,9.2,销售,否,6.76,7.97
2022-12-13,102900011010891,野藕(1),水生根茎类,0.655,9.2,销售,否,6.76,7.97
2022-12-14,102900011010891,野藕(1),水生根茎类,0.59,9.2,销售,否,6.76,7.97
2022-12-15,102900011010891,野藕(1),水生根茎类,0.404,9.2,销售,否,6.76,7.97
2022-12-15,102900011010891,野藕(1),水生根茎类,0.655,9.2,销售,否,6.76,7.97
2022-12-15,102900011010891,野藕(1),水生根茎类,0.448,9.2,销售,否,6.76,7.97
2022-12-19,102900011010891,野藕(1),水生根茎类,0.611,9.2,销售,否,6.75,7.97
2022-12-19,102900011010891,野藕(1),水生根茎类,0.502,9.2,销售,否,6.75,7.97
