单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011035962,野藕(2),水生根茎类,15:55:12.295,0.486,13.0,销售,否,2022-11-16,6.05
102900011035962,野藕(2),水生根茎类,16:45:45.937,0.532,13.0,销售,否,2022-11-16,6.05
102900011035962,野藕(2),水生根茎类,10:14:06.658,0.478,13.0,销售,否,2022-11-17,6.33
102900011035962,野藕(2),水生根茎类,11:14:47.076,0.857,13.0,销售,否,2022-11-17,6.33
102900011035962,野藕(2),水生根茎类,19:23:12.816,0.602,13.0,销售,否,2022-11-17,6.33
102900011035962,野藕(2),水生根茎类,20:13:17.436,0.494,13.0,销售,否,2022-11-17,6.33
102900011035962,野藕(2),水生根茎类,11:15:04.045,0.486,13.0,销售,否,2022-11-18,6.33
102900011035962,野藕(2),水生根茎类,11:15:10.311,0.679,13.0,销售,否,2022-11-18,6.33
102900011035962,野藕(2),水生根茎类,13:57:08.075,0.471,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,17:17:18.482,0.463,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,17:48:08.858,0.741,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,17:58:35.013,0.88,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,17:58:51.708,0.525,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,18:04:02.545,0.586,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,18:31:00.379,0.895,13.0,销售,否,2022-11-19,4.05
102900011035962,野藕(2),水生根茎类,19:51:04.841,0.463,13.0,销售,否,2022-11-20,0.1
102900011035962,野藕(2),水生根茎类,20:33:17.608,0.664,13.0,销售,否,2022-11-20,0.1
102900011035962,野藕(2),水生根茎类,20:33:21.67,0.602,13.0,销售,否,2022-11-20,0.1
102900011035962,野藕(2),水生根茎类,18:34:14.514,0.494,13.0,销售,否,2022-11-21,0.1
