日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116547,金针菇(1),食用菌,0.435,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.217,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.318,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.401,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.502,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.334,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.502,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.518,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.435,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.318,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.435,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.418,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.418,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.418,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.401,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.418,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.518,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.301,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.251,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.201,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.234,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.268,6.0,销售,否,4.06,3.43
2020-07-01,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.06,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.201,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.251,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.368,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.268,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.518,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.184,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.284,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.368,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.435,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.234,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.217,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.301,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.401,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.418,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.485,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.452,6.0,销售,否,4.05,3.43
2020-07-02,102900005116547,金针菇(1),食用菌,0.468,6.0,销售,否,4.05,3.43
