日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.63,8.85
2020-07-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.4,销售,是,1.64,8.85
2020-07-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.64,8.85
2020-07-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.1,销售,是,1.64,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-07,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-09,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.73,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-14,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-20,102900011001813,金针菇(袋)(1),食用菌,1.0,3.5,销售,否,1.79,8.85
2020-08-28,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.62,8.85
2020-08-28,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.62,8.85
2020-08-28,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.62,8.85
2020-08-28,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.62,8.85
2020-08-29,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.63,8.85
2020-08-29,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.63,8.85
2020-08-29,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.63,8.85
2020-08-29,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.63,8.85
2020-08-29,102900011001813,金针菇(袋)(1),食用菌,1.0,4.5,销售,否,2.63,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-08-30,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.62,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-02,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.51,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-03,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.67,8.85
2020-09-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-05,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-06,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-08,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.74,8.85
2020-09-10,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.73,8.85
2020-09-11,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-12,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-13,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-13,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-15,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-17,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-19,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-19,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-19,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-19,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
2020-09-19,102900011001813,金针菇(袋)(1),食用菌,1.0,3.9,销售,否,2.68,8.85
