单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
106949711300068,金针菇(袋)(3),食用菌,17:29:43.449,1.0,3.5,销售,否,2020-12-08,2.46
106949711300068,金针菇(袋)(3),食用菌,18:33:01.185,1.0,3.5,销售,否,2020-12-08,2.46
106949711300068,金针菇(袋)(3),食用菌,20:02:07.723,1.0,3.5,销售,否,2020-12-08,2.46
106949711300068,金针菇(袋)(3),食用菌,16:55:49.384,1.0,3.5,销售,否,2020-12-10,2.46
106949711300068,金针菇(袋)(3),食用菌,10:54:55.198,1.0,3.5,销售,否,2020-12-11,2.46
106949711300068,金针菇(袋)(3),食用菌,10:55:22.905,1.0,3.5,销售,否,2020-12-11,2.46
106949711300068,金针菇(袋)(3),食用菌,16:41:33.708,1.0,3.5,销售,否,2020-12-11,2.46
106949711300068,金针菇(袋)(3),食用菌,17:12:32.605,1.0,3.5,销售,否,2020-12-11,2.46
106949711300068,金针菇(袋)(3),食用菌,19:35:19.713,1.0,3.5,销售,否,2020-12-11,2.46
106949711300068,金针菇(袋)(3),食用菌,14:03:06.677,1.0,3.5,销售,否,2020-12-12,2.46
106949711300068,金针菇(袋)(3),食用菌,10:10:54.280,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:05:20.853,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:33:44.248,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:36:20.592,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:37:29.242,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:44:11.170,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,12:44:11.225,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,14:29:34.503,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,14:37:47.702,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,14:54:18.514,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,14:57:37.686,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,15:07:48.123,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,15:07:50.373,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,15:34:52.323,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,15:58:31.326,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:08:10.985,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:16:00.139,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:18:42.626,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:26:31.389,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:26:55.441,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:36:57.950,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,16:45:07.414,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:04:22.036,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:15:03.717,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:16:28.264,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:26:54.874,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:27:27.405,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:42:45.773,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:44:48.061,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,17:50:28.183,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,18:02:29.545,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,18:02:31.545,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,18:09:12.123,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,18:35:21.655,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,19:06:31.274,1.0,3.5,销售,否,2020-12-13,2.48
106949711300068,金针菇(袋)(3),食用菌,10:13:03.498,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,14:04:09.123,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,15:48:43.898,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,16:01:06.562,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,17:19:43.952,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,17:19:44.115,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,17:52:35.179,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,18:02:44.771,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,18:20:53.960,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,18:57:34.686,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,20:06:44.858,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,20:56:57.559,1.0,3.5,销售,否,2020-12-14,2.46
106949711300068,金针菇(袋)(3),食用菌,10:36:15.859,1.0,3.5,销售,否,2020-12-15,2.52
106949711300068,金针菇(袋)(3),食用菌,10:51:19.646,1.0,3.5,销售,否,2020-12-15,2.52
