日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-12-03,102900011000571,随州泡泡青,花叶类,0.316,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.465,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.781,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.632,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.26,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.372,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.52,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.465,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.483,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.502,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.335,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.279,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.297,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.613,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.39,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.483,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.483,5.4,销售,否,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.4,3.0,销售,是,2.0,12.2
2020-12-03,102900011000571,随州泡泡青,花叶类,0.4,3.0,销售,是,2.0,12.2
2020-12-05,102900011000571,随州泡泡青,花叶类,0.368,6.0,销售,否,3.55,12.2
2020-12-05,102900011000571,随州泡泡青,花叶类,0.435,6.0,销售,否,3.55,12.2
2020-12-05,102900011000571,随州泡泡青,花叶类,0.485,6.0,销售,否,3.55,12.2
2020-12-05,102900011000571,随州泡泡青,花叶类,0.435,6.0,销售,否,3.55,12.2
2020-12-05,102900011000571,随州泡泡青,花叶类,0.502,6.0,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.52,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.341,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.466,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.412,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.358,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.609,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.323,5.6,销售,否,3.55,12.2
2020-12-06,102900011000571,随州泡泡青,花叶类,0.125,5.6,销售,否,3.55,12.2
