日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116226,青尖椒,辣椒类,0.589,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.075,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.238,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.313,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.313,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.188,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,4.64,6.72
2020-07-01,102900005116226,青尖椒,辣椒类,0.451,8.0,销售,否,4.64,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.1,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.439,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.088,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.238,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.57,6.72
2020-07-02,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.57,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.602,8.0,销售,否,4.42,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.42,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.42,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.42,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.677,8.0,销售,否,4.42,6.72
2020-07-03,102900005116226,青尖椒,辣椒类,0.188,8.0,销售,否,4.42,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.15,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.451,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.501,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.414,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.251,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.113,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.313,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.702,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.439,8.0,销售,否,4.41,6.72
2020-07-04,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.41,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.614,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.401,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.451,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.614,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.35,6.72
2020-07-05,102900005116226,青尖椒,辣椒类,0.063,8.0,销售,否,4.35,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.414,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.175,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.125,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.551,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.363,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.163,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.514,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.313,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.551,8.0,销售,否,4.41,6.72
2020-07-06,102900005116226,青尖椒,辣椒类,0.213,8.0,销售,否,4.41,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.376,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.175,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.376,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.664,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.288,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.614,8.0,销售,否,4.6,6.72
2020-07-07,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.6,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.238,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.251,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.602,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.389,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.213,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.539,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.075,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.439,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.1,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.238,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.113,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.877,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.652,8.0,销售,否,4.77,6.72
2020-07-08,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.77,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.363,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.15,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.439,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.539,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.576,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.201,8.0,销售,否,4.81,6.72
2020-07-09,102900005116226,青尖椒,辣椒类,0.213,8.0,销售,否,4.81,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.514,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.088,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.464,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.113,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.363,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.125,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.576,8.0,销售,否,4.83,6.72
2020-07-10,102900005116226,青尖椒,辣椒类,0.138,8.0,销售,否,4.83,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.301,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.301,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.326,7.2,销售,是,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.451,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.589,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.201,7.3,销售,是,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.326,8.0,销售,否,4.94,6.72
2020-07-12,102900005116226,青尖椒,辣椒类,0.201,8.0,销售,否,4.94,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.489,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.226,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.163,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.263,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.301,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.175,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.1,4.6,销售,是,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.15,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.251,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.414,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.213,8.0,销售,否,5.24,6.72
2020-07-13,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,5.24,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.489,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.163,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.489,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.351,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.677,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.238,8.0,销售,否,5.06,6.72
2020-07-14,102900005116226,青尖椒,辣椒类,0.201,8.0,销售,否,5.06,6.72
2020-07-15,102900005116226,青尖椒,辣椒类,0.251,8.0,销售,否,5.04,6.72
2020-07-15,102900005116226,青尖椒,辣椒类,0.276,8.0,销售,否,5.04,6.72
2020-07-15,102900005116226,青尖椒,辣椒类,0.389,6.9,销售,是,5.04,6.72
