日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.14,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.471,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.381,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.16,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.341,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.21,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.241,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.241,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.2,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.12,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.361,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.361,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.22,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.13,10.0,销售,否,4.15,9.0
2020-09-05,102900005119968,青杭椒(2),辣椒类,0.12,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.11,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.371,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.321,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.431,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.12,10.0,销售,否,4.15,9.0
2020-09-06,102900005119968,青杭椒(2),辣椒类,0.11,10.0,销售,否,4.15,9.0
2020-09-07,102900005119968,青杭椒(2),辣椒类,0.241,10.0,销售,否,4.15,9.0
2020-09-08,102900005119968,青杭椒(2),辣椒类,0.2,10.0,销售,否,4.15,9.0
2020-09-09,102900005119968,青杭椒(2),辣椒类,0.06,10.0,销售,否,4.15,9.0
2020-09-09,102900005119968,青杭椒(2),辣椒类,0.09,10.0,销售,否,4.15,9.0
2020-09-09,102900005119968,青杭椒(2),辣椒类,0.12,10.0,销售,否,4.15,9.0
2020-09-10,102900005119968,青杭椒(2),辣椒类,0.15,10.0,销售,否,4.13,9.0
2020-09-11,102900005119968,青杭椒(2),辣椒类,0.11,10.0,销售,否,4.15,9.0
2020-09-11,102900005119968,青杭椒(2),辣椒类,0.2,10.0,销售,否,4.15,9.0
2020-09-11,102900005119968,青杭椒(2),辣椒类,0.17,10.0,销售,否,4.15,9.0
2020-09-11,102900005119968,青杭椒(2),辣椒类,0.07,10.0,销售,否,4.15,9.0
2020-09-12,102900005119968,青杭椒(2),辣椒类,0.15,10.0,销售,否,4.15,9.0
2020-09-12,102900005119968,青杭椒(2),辣椒类,0.381,10.0,销售,否,4.15,9.0
2020-09-12,102900005119968,青杭椒(2),辣椒类,0.11,10.0,销售,否,4.15,9.0
2020-09-12,102900005119968,青杭椒(2),辣椒类,0.19,10.0,销售,否,4.15,9.0
2020-09-13,102900005119968,青杭椒(2),辣椒类,0.13,10.0,销售,否,4.15,9.0
2020-09-13,102900005119968,青杭椒(2),辣椒类,0.2,10.0,销售,否,4.15,9.0
2020-09-13,102900005119968,青杭椒(2),辣椒类,0.05,10.0,销售,否,4.15,9.0
2020-09-13,102900005119968,青杭椒(2),辣椒类,0.19,10.0,销售,否,4.15,9.0
2020-09-13,102900005119968,青杭椒(2),辣椒类,0.08,10.0,销售,否,4.15,9.0
2021-01-30,102900005119968,青杭椒(2),辣椒类,0.168,23.8,销售,否,16.77,9.0
2021-01-30,102900005119968,青杭椒(2),辣椒类,0.172,23.8,销售,否,16.77,9.0
2021-01-30,102900005119968,青杭椒(2),辣椒类,0.143,23.8,销售,否,16.77,9.0
2021-01-30,102900005119968,青杭椒(2),辣椒类,0.168,23.8,销售,否,16.77,9.0
2021-01-31,102900005119968,青杭椒(2),辣椒类,0.345,23.8,销售,否,16.77,9.0
2021-01-31,102900005119968,青杭椒(2),辣椒类,0.202,23.8,销售,否,16.77,9.0
2021-01-31,102900005119968,青杭椒(2),辣椒类,0.172,23.8,销售,否,16.77,9.0
2021-01-31,102900005119968,青杭椒(2),辣椒类,0.164,23.8,销售,否,16.77,9.0
2021-01-31,102900005119968,青杭椒(2),辣椒类,0.151,23.8,销售,否,16.77,9.0
2021-02-01,102900005119968,青杭椒(2),辣椒类,0.228,18.0,销售,否,16.77,9.0
2021-02-01,102900005119968,青杭椒(2),辣椒类,0.172,18.0,销售,否,16.77,9.0
2021-02-01,102900005119968,青杭椒(2),辣椒类,0.223,18.0,销售,否,16.77,9.0
2021-02-02,102900005119968,青杭椒(2),辣椒类,0.234,18.0,销售,否,16.77,9.0
2021-02-02,102900005119968,青杭椒(2),辣椒类,0.345,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.106,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.106,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.484,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.095,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.139,18.0,销售,否,16.77,9.0
2021-02-03,102900005119968,青杭椒(2),辣椒类,0.35,18.0,销售,否,16.77,9.0
2021-02-04,102900005119968,青杭椒(2),辣椒类,0.382,23.8,销售,否,15.75,9.0
2021-02-04,102900005119968,青杭椒(2),辣椒类,0.109,23.8,销售,否,15.75,9.0
2021-02-04,102900005119968,青杭椒(2),辣椒类,0.198,23.8,销售,否,15.75,9.0
2021-02-04,102900005119968,青杭椒(2),辣椒类,0.126,23.8,销售,否,15.75,9.0
2021-04-13,102900005119968,青杭椒(2),辣椒类,0.418,6.0,销售,否,3.56,9.0
2021-05-03,102900005119968,青杭椒(2),辣椒类,0.226,8.0,销售,否,4.06,9.0
2021-05-03,102900005119968,青杭椒(2),辣椒类,0.075,8.0,销售,否,4.06,9.0
2021-05-03,102900005119968,青杭椒(2),辣椒类,0.201,8.0,销售,否,4.06,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.338,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.251,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.376,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.301,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.188,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.05,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.238,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.213,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.288,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.063,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.05,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.175,8.0,销售,否,4.22,9.0
2021-06-26,102900005119968,青杭椒(2),辣椒类,0.201,8.0,销售,否,4.22,9.0
2021-06-27,102900005119968,青杭椒(2),辣椒类,0.125,8.0,销售,否,4.24,9.0
2021-06-28,102900005119968,青杭椒(2),辣椒类,0.301,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.163,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.175,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.113,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.075,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.125,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.125,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.113,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.338,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.188,8.0,销售,否,4.22,9.0
2021-06-29,102900005119968,青杭椒(2),辣椒类,0.088,8.0,销售,否,4.22,9.0
