日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-08,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-08,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-08,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-08,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-08,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-09,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-10,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.54,9.43
2022-02-17,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.23,9.43
2022-02-17,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.23,9.43
2022-02-18,102900011032206,青杭椒(份),辣椒类,1.0,2.5,销售,是,2.23,9.43
2022-02-19,102900011032206,青杭椒(份),辣椒类,1.0,2.5,销售,是,2.23,9.43
2022-03-03,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.96,9.43
2022-03-03,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.96,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,3.11,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,3.11,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,3.11,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,2.5,销售,是,3.11,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,2.5,销售,是,3.11,9.43
2022-03-04,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,3.11,9.43
2022-03-05,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.7,9.43
2022-03-05,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.7,9.43
2022-03-05,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.7,9.43
2022-03-05,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.7,9.43
2022-03-05,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.7,9.43
2022-03-06,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.82,9.43
2022-03-06,102900011032206,青杭椒(份),辣椒类,1.0,3.5,销售,否,2.82,9.43
2022-03-07,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-07,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-07,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-08,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-08,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-08,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-09,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.45,9.43
2022-03-09,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.45,9.43
2022-03-10,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.96,9.43
2022-03-10,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.96,9.43
2022-03-10,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.96,9.43
2022-03-10,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-12,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.14,9.43
2022-03-12,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.14,9.43
2022-03-12,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.14,9.43
2022-03-12,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.14,9.43
2022-03-12,102900011032206,青杭椒(份),辣椒类,1.0,3.9,销售,是,3.14,9.43
2022-03-13,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.23,9.43
2022-03-13,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.23,9.43
2022-03-13,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.23,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-14,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,3.22,9.43
2022-03-15,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-16,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-16,102900011032206,青杭椒(份),辣椒类,1.0,2.9,销售,是,2.96,9.43
2022-03-17,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.23,9.43
2022-03-17,102900011032206,青杭椒(份),辣椒类,1.0,2.9,销售,是,2.23,9.43
2022-03-21,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.99,9.43
2022-03-21,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.99,9.43
2022-03-23,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-23,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-23,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-24,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-26,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-26,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-26,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-26,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-26,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.97,9.43
2022-03-27,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-27,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-27,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-27,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-27,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.96,9.43
2022-03-28,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.16,9.43
2022-03-28,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.16,9.43
2022-03-28,102900011032206,青杭椒(份),辣椒类,1.0,2.5,销售,是,2.16,9.43
2022-03-28,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.16,9.43
2022-03-29,102900011032206,青杭椒(份),辣椒类,1.0,3.9,销售,否,2.83,9.43
2022-03-29,102900011032206,青杭椒(份),辣椒类,1.0,3.9,销售,否,2.83,9.43
2022-03-29,102900011032206,青杭椒(份),辣椒类,1.0,3.9,销售,否,2.83,9.43
2022-03-29,102900011032206,青杭椒(份),辣椒类,1.0,3.9,销售,否,2.83,9.43
2022-03-29,102900011032206,青杭椒(份),辣椒类,1.0,2.7,销售,是,2.83,9.43
2022-03-30,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
2022-03-30,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
2022-03-30,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
2022-03-30,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
2022-03-30,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,3.4,销售,是,2.5,9.43
2022-03-31,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.5,9.43
2022-04-01,102900011032206,青杭椒(份),辣椒类,1.0,4.9,销售,否,2.84,9.43
