日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900011009970,青梗散花,花菜类,0.445,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.368,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.401,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.457,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.523,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.613,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.379,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.412,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.423,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.535,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.49,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.546,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.713,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.635,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.323,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.323,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.512,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.557,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.312,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.535,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.78,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.579,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.523,9.0,销售,否,6.03,17.06
2020-07-01,102900011009970,青梗散花,花菜类,0.702,9.0,销售,否,6.03,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.434,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.379,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.312,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.39,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.323,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.546,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.301,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.546,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.412,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.546,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.401,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.29,9.0,销售,否,5.52,17.06
2020-07-02,102900011009970,青梗散花,花菜类,0.323,9.0,销售,否,5.52,17.06
