日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2023-02-28,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-02-28,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-01,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-01,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-04,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-04,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-04,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-05,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-06,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-09,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-09,102900011036242,青红尖椒组合装(份),辣椒类,1.0,3.9,销售,是,2.72,9.43
2023-03-09,102900011036242,青红尖椒组合装(份),辣椒类,1.0,3.9,销售,是,2.72,9.43
2023-03-09,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-10,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-11,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-14,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.72,9.43
2023-03-15,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.63,9.43
2023-03-15,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.63,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.36,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,3.3,销售,是,2.36,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.36,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.36,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.36,9.43
2023-03-16,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,2.36,9.43
2023-03-17,102900011036242,青红尖椒组合装(份),辣椒类,1.0,3.3,销售,是,2.36,9.43
2023-03-22,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,3.27,9.43
2023-03-23,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,4.17,9.43
2023-03-23,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,4.17,9.43
2023-03-23,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,4.17,9.43
2023-03-24,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,4.38,9.43
2023-03-25,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.5,销售,否,4.37,9.43
2023-03-26,102900011036242,青红尖椒组合装(份),辣椒类,1.0,8.8,销售,否,3.92,9.43
2023-03-27,102900011036242,青红尖椒组合装(份),辣椒类,1.0,8.8,销售,否,3.42,9.43
2023-03-27,102900011036242,青红尖椒组合装(份),辣椒类,1.0,8.8,销售,否,3.42,9.43
2023-03-31,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.8,销售,否,3.42,9.43
2023-04-01,102900011036242,青红尖椒组合装(份),辣椒类,1.0,3.5,销售,是,3.4,9.43
2023-04-01,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.8,销售,否,3.4,9.43
2023-04-13,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.8,销售,否,4.98,9.43
2023-04-15,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.8,销售,否,3.65,9.43
2023-04-18,102900011036242,青红尖椒组合装(份),辣椒类,1.0,5.8,销售,否,3.88,9.43
